the;196;240
u;37;59
to;126;175
a;135;154
and;101;132
of;98;119
it;92;82
in;73;109
is;92;111
that;89;95
on;48;71
they;65;53
for;53;67
i;45;60
you;45;57
over;28;59
this;37;65
s;36;41
not;49;46
with;34;47
have;42;46
we;39;45
was;41;46
are;40;39
it_s;46;32
our;18;51
us;30;43
at;28;38
just;25;38
so;30;34
be;32;39
about;28;35
from;32;27
has;24;31
but;28;37
or;26;25
all;28;31
as;26;17
were;15;17
if;29;25
there;25;24
said;17;5
one;15;23
no;23;23
do;15;26
more;18;14
their;19;19
been;21;19
had;9;20
when;8;33
he;4;28
would;22;17
an;10;20
how;21;15
can;26;15
why;25;8
don_t;15;24
by;15;18
now;13;22
his;1;31
those;12;19
com;18;12
think;13;21
out;12;23
them;13;17
because;18;15
take;12;17
also;14;12
who;4;26
other;15;16
make;14;16
could;16;16
than;18;10
even;14;18
its;15;7
which;11;8
up;5;23
didn_t;9;17
my;10;14
any;18;9
off;8;19
into;15;10
get;11;14
your;9;13
did;9;15
around;8;6
before;11;9
mean;10;14
being;11;12
says;6;6
go;6;17
two;2;7
then;9;14
some;11;9
only;10;11
me;7;13
across;4;6
i_m;6;11
during;3;13
doesn_t;10;11
will;4;13
where;8;8
see;10;8
right;6;12
never;3;15
want;10;8
while;4;6
that_s;10;7
since;5;8
got;6;7
3;5;11
very;9;8
three;2;8
there_s;7;9
such;5;2
does;10;7
look;8;9
least;6;10
every;6;6
can_t;8;5
after;6;10
through;2;7
should;5;9
say;5;8
going;3;10
ever;4;8
2;5;9
way;6;8
really;5;8
probably;6;6
much;6;8
last;1;9
anything;4;10
2023;6;6
used;6;6
until;4;8
under;3;10
too;7;6
though;5;5
they_re;7;5
these;6;6
second;3;0
nothing;4;9
most;5;6
maybe;5;7
getting;4;9
first;4;6
000;6;5
something;6;6
same;1;11
either;4;2
course;9;1
come;4;7
another;5;4
someone;10;1
seen;4;2
own;4;6
little;4;7
isn_t;7;3
he_s;2;8
etc;4;7
actually;8;3
4;7;4
yes;3;4
we_re;4;5
took;2;8
new;1;4
near;1;5
here;4;5
f;2;5
everyone;2;7
couldn_t;5;5
already;6;2
1;5;4
wasn_t;5;4
use;5;4
still;3;4
likely;6;2
again;3;5
above;4;1
won_t;2;5
without;3;5
what_s;2;6
themselves;6;2
taken;7;1
sure;4;4
possible;4;2
oh;2;6
might;3;5
him;0;8
former;2;4
exactly;4;1
especially;5;3
zero;2;4
you_re;1;4
whole;3;4
needs;4;3
done;3;4
doing;5;2
clearly;5;2
better;0;5
away;1;6
anyone;2;5
am;4;2
wouldn_t;3;2
wants;3;3
try;2;4
seems;3;2
plus;2;4
please;2;3
once;3;3
may;3;2
many;3;3
less;3;2
i_ve;1;4
given;3;3
everything;3;3
different;2;3
between;2;2
appear;4;2
5;2;2
we_ve;2;3
w;0;3
via;2;1
trying;2;3
tried;2;2
somehow;2;3
sent;2;1
self;2;1
saying;3;2
outside;2;3
nobody;1;3
let_s;0;5
knows;3;1
help;1;3
haven_t;4;1
few;3;2
enough;2;3
currently;1;2
ask;2;3
among;2;3
100;3;2
10;1;4
who_s;0;4
whether;4;0
whatever;2;2
v;2;1
using;4;0
useful;4;0
truly;2;2
she;2;2
several;2;2
serious;1;3
r;3;1
next;0;4
name;1;2
must;3;1
known;3;1
however;0;3
having;0;4
goes;1;3
gets;1;3
else;2;2
certainly;0;3
came;1;3
both;1;2
best;2;2
almost;0;3
according;1;3
able;2;2
90;2;1
9;0;3
25;0;4
20;1;3
12;1;2
yourself;0;3
you_ve;1;2
yet;2;1
within;2;1
whose;1;2
weren_t;0;3
various;2;1
third;1;2
they_ve;2;1
sorry;0;3
sometimes;1;2
saw;2;1
rather;2;1
ourselves;1;2
otherwise;2;1
others;2;1
ones;1;2
often;3;0
meanwhile;1;2
looks;1;2
instead;2;1
ignored;0;3
here_s;1;2
four;2;1
following;1;2
everywhere;2;1
definitely;1;2
considering;3;0
brief;3;0
behind;2;1
always;2;1
along;0;3
against;2;1
50;0;3
40;0;3
2020;2;1
2015;3;0
03;2;1
02;2;1
