"";"";"";"";"make";""
"1";"make";"-0.538763308175085";"-0.146490735913367";"0.818147711371955";"213"
"2";"wasn_t";"-0.506865237708314";"-0.156554933381695";"0.816158184495622";"225"
"3";"these";"-0.566904993022893";"-0.00191179491942093";"0.815728016522361";"226"
"4";"given";"-0.561920851584511";"-0.0345367730572479";"0.813819146141014";"231"
"5";"take";"-0.545558833890292";"-0.0187882052379907";"0.812810939953684";"234"
"6";"then";"-0.514235483744919";"0.126302772978169";"0.811869947512175";"238"
"7";"don_t";"-0.53403253210031";"0.255379016537458";"0.811856504763011";"239"
"8";"used";"-0.530884183019247";"-0.216198600770279";"0.811587649779722";"243"
"9";"think";"-0.522362968494201";"0.203635523009132";"0.809262054174279";"248"
"10";"different";"-0.523396558917546";"0.190492392423582";"0.80798499300366";"254"
"11";"best";"-0.523396558917546";"0.190492392423582";"0.80798499300366";"258"
"12";"being";"-0.542716860737487";"-0.377025728053288";"0.807890893759509";"260"
"13";"their";"-0.528877272834529";"-0.173826446383443";"0.806452519598917";"262"
"14";"here";"-0.524679026666346";"-0.164897191545213";"0.804261351485118";"268"
"15";"whole";"-0.488046984752256";"0.299959687836161";"0.804261351485118";"269"
"16";"they_ve";"-0.526388983664745";"-0.638749970170274";"0.80365642777272";"274"
