"";"x"
"1";2
"2";0
"3";2
"4";1
"5";4
"6";4
"7";0
"8";1
"9";3
"10";4
"11";3
"12";3
"13";1
"14";3
"15";2
"16";3
"17";0
"18";4
"19";4
"20";1
"21";2
"22";2
"23";0
"24";0
"25";0
"26";1
"27";4
"28";1
"29";1
"30";2
"31";0
"32";2
"33";0
"34";0
"35";4
"36";1
"37";4
"38";1
"39";4
"40";1
"41";2
"42";4
"43";1
"44";0
"45";4
"46";4
"47";3
"48";4
"49";0
"50";0
"51";2
"52";4
"53";1
"54";1
"55";0
"56";0
"57";1
"58";0
"59";0
"60";2
"61";1
"62";0
"63";1
"64";1
"65";2
"66";1
"67";1
"68";0
"69";0
"70";1
"71";0
"72";0
"73";1
"74";0
"75";1
"76";0
"77";0
"78";0
"79";0
"80";4
"81";4
"82";0
"83";0
"84";1
"85";4
"86";1
"87";0
"88";2
"89";1
"90";1
"91";4
"92";4
"93";1
"94";1
"95";4
"96";0
"97";0
"98";1
"99";1
"100";0
"101";0
"102";2
"103";0
"104";0
"105";0
"106";0
"107";0
"108";0
"109";0
"110";2
"111";2
"112";0
"113";1
"114";0
"115";1
"116";1
"117";0
"118";0
"119";0
"120";1
"121";0
"122";2
"123";1
"124";1
"125";1
"126";0
"127";2
"128";1
"129";1
"130";0
"131";1
"132";3
"133";1
"134";1
"135";0
"136";3
"137";0
"138";0
"139";3
"140";0
"141";0
"142";0
"143";0
"144";0
"145";1
"146";1
"147";1
"148";1
"149";4
"150";0
"151";1
"152";1
"153";2
"154";3
"155";1
"156";3
"157";3
"158";0
"159";0
"160";5
"161";0
"162";1
"163";4
"164";1
"165";2
"166";2
"167";0
"168";3
"169";1
"170";0
"171";0
"172";1
"173";1
"174";0
"175";1
"176";3
"177";2
"178";4
"179";2
"180";1
"181";1
"182";1
"183";4
"184";1
"185";1
"186";0
"187";0
"188";0
"189";0
"190";0
"191";0
"192";1
"193";0
"194";4
"195";1
"196";0
"197";1
"198";1
"199";0
"200";2
"201";2
"202";0
"203";1
"204";0
"205";1
"206";1
"207";1
"208";4
"209";0
"210";0
"211";1
"212";1
"213";1
"214";1
"215";0
"216";0
"217";1
"218";3
"219";1
"220";1
"221";3
"222";1
"223";4
"224";1
"225";1
"226";2
"227";1
"228";4
"229";1
"230";1
"231";0
"232";1
"233";4
"234";1
"235";4
"236";4
"237";1
"238";1
"239";1
"240";1
"241";1
"242";1
"243";1
"244";0
"245";0
"246";2
"247";4
"248";4
"249";4
"250";2
"251";2
"252";0
"253";0
"254";1
"255";4
"256";1
"257";0
"258";0
"259";4
"260";0
"261";0
"262";0
"263";0
"264";0
"265";0
"266";0
"267";1
"268";0
"269";0
"270";4
"271";4
"272";2
"273";0
"274";1
"275";4
"276";1
"277";1
"278";0
"279";1
"280";1
"281";0
"282";1
"283";2
"284";2
"285";3
"286";0
"287";1
"288";1
"289";4
"290";1
"291";1
"292";1
"293";1
"294";0
"295";0
"296";0
"297";1
"298";1
"299";1
"300";1
"301";1
"302";2
"303";1
"304";0
"305";0
"306";0
"307";0
"308";2
"309";1
"310";2
"311";0
"312";1
"313";0
"314";1
"315";0
"316";0
"317";0
"318";1
"319";1
"320";0
"321";1
"322";0
"323";1
"324";1
"325";1
"326";0
"327";0
"328";1
"329";0
"330";1
"331";1
"332";0
"333";1
"334";0
"335";1
"336";1
"337";0
"338";0
"339";1
"340";1
"341";1
"342";0
"343";0
"344";4
"345";1
"346";4
"347";1
"348";1
"349";1
"350";0
"351";1
"352";2
"353";0
"354";0
"355";1
"356";0
"357";0
"358";0
"359";0
"360";4
"361";4
"362";3
"363";2
"364";3
"365";0
"366";0
"367";3
"368";3
"369";3
"370";4
"371";1
"372";3
"373";4
"374";3
"375";3
"376";3
"377";3
"378";1
"379";4
"380";3
"381";2
"382";4
"383";4
"384";4
"385";3
"386";3
"387";4
"388";4
"389";1
"390";3
"391";3
"392";3
"393";5
"394";3
"395";5
"396";5
"397";3
"398";5
"399";5
"400";5
"401";1
"402";4
"403";5
"404";5
"405";5
"406";5
"407";3
"408";5
"409";5
"410";5
"411";5
"412";5
"413";5
"414";5
"415";5
"416";5
"417";5
"418";5
"419";5
"420";5
"421";5
"422";1
"423";5
"424";5
"425";5
"426";5
"427";5
"428";5
"429";5
"430";5
"431";5
"432";5
"433";5
"434";5
"435";5
"436";5
"437";5
"438";5
"439";5
"440";5
"441";5
"442";5
"443";5
"444";5
"445";5
"446";5
"447";5
"448";5
"449";5
"450";5
"451";5
"452";5
"453";5
"454";5
"455";5
"456";5
"457";5
"458";5
"459";5
"460";3
"461";2
"462";2
"463";2
"464";0
"465";2
"466";2
"467";3
"468";0
"469";3
"470";2
"471";0
"472";0
"473";3
"474";3
"475";3
"476";3
"477";3
"478";1
"479";3
"480";3
"481";3
"482";1
"483";3
"484";2
"485";2
"486";1
"487";0
"488";3
"489";2
"490";2
"491";3
"492";2
"493";2
"494";2
"495";4
"496";0
"497";2
"498";0
"499";1
"500";3
"501";4
"502";0
"503";2
"504";0
"505";1
"506";0
"507";0
"508";1
"509";0
"510";0
"511";1
"512";2
"513";0
"514";3
"515";0
"516";0
"517";2
"518";2
"519";0
"520";0
"521";1
"522";1
"523";2
"524";2
"525";2
"526";0
"527";1
"528";2
"529";3
"530";2
"531";2
"532";2
"533";1
"534";0
"535";2
"536";0
"537";4
"538";1
"539";2
"540";0
"541";2
"542";2
"543";2
"544";2
"545";3
"546";3
"547";3
"548";2
"549";3
"550";0
"551";1
"552";1
"553";2
"554";2
"555";3
"556";2
"557";0
"558";1
"559";1
"560";4
"561";2
"562";2
"563";2
"564";0
"565";0
"566";0
"567";3
"568";2
"569";0
"570";0
"571";2
"572";2
"573";0
"574";1
"575";0
"576";4
"577";4
"578";0
"579";4
"580";2
"581";2
"582";0
"583";2
"584";3
"585";0
"586";4
"587";2
"588";3
"589";0
"590";2
"591";3
"592";1
"593";2
"594";0
"595";2
"596";3
"597";3
"598";1
"599";3
"600";1
"601";4
"602";0
"603";1
"604";2
"605";3
"606";0
"607";0
"608";3
"609";1
"610";0
"611";0
"612";3
"613";0
"614";2
"615";1
"616";2
"617";4
"618";0
"619";0
"620";2
"621";2
"622";2
"623";1
"624";4
"625";0
"626";2
"627";0
"628";2
"629";1
"630";4
"631";1
"632";0
"633";1
"634";3
"635";0
"636";3
"637";0
"638";2
"639";0
"640";2
"641";2
"642";3
"643";4
"644";0
"645";0
"646";3
"647";0
"648";3
"649";2
"650";2
"651";0
"652";0
"653";1
"654";0
"655";3
"656";0
"657";2
"658";1
"659";0
"660";3
"661";2
"662";2
"663";2
"664";2
"665";2
"666";2
"667";0
"668";3
"669";2
"670";2
"671";0
"672";0
"673";4
"674";0
"675";1
"676";2
"677";2
"678";2
"679";3
"680";2
"681";2
"682";2
"683";1
"684";2
"685";1
"686";0
"687";0
"688";1
"689";2
"690";2
"691";2
"692";2
"693";2
"694";4
"695";2
"696";1
"697";3
"698";3
"699";3
"700";1
"701";3
"702";0
"703";2
"704";2
"705";3
"706";1
"707";2
"708";1
"709";3
"710";3
"711";3
"712";4
"713";3
"714";2
"715";1
"716";1
"717";3
"718";2
"719";2
"720";4
"721";2
"722";2
"723";2
"724";1
"725";0
"726";0
"727";1
"728";0
"729";2
"730";0
"731";0
"732";2
"733";2
"734";1
"735";0
"736";1
"737";2
"738";1
"739";2
"740";2
"741";3
"742";3
"743";2
"744";2
"745";2
"746";2
"747";1
"748";2
"749";2
"750";1
"751";2
"752";3
"753";0
"754";0
"755";2
"756";2
"757";0
"758";2
"759";1
"760";2
"761";2
"762";2
"763";1
"764";1
"765";1
"766";2
"767";2
"768";4
"769";2
"770";2
"771";3
"772";2
"773";3
"774";2
"775";0
"776";0
"777";2
"778";1
"779";2
"780";0
"781";3
"782";1
"783";2
"784";4
"785";1
"786";2
"787";2
"788";2
"789";1
"790";2
"791";2
"792";3
"793";2
"794";2
"795";3
"796";2
"797";0
"798";1
"799";3
"800";0
"801";2
"802";3
"803";3
"804";2
"805";3
"806";3
"807";3
"808";0
"809";1
"810";2
"811";2
"812";3
"813";2
"814";1
"815";0
"816";0
"817";1
"818";2
"819";2
"820";0
"821";2
"822";2
"823";1
"824";2
"825";2
"826";2
"827";2
"828";3
"829";2
"830";3
"831";3
"832";3
"833";3
"834";3
"835";3
"836";3
"837";0
"838";5
"839";3
"840";3
"841";2
"842";1
"843";2
"844";2
"845";2
"846";2
"847";2
"848";2
"849";2
"850";2
"851";2
"852";2
"853";1
"854";1
"855";3
"856";3
"857";3
"858";3
"859";3
"860";2
"861";3
