"";"X";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"1";1;0;0;0;0;0;0;0;0;2
"2";2;0;0;0;0;0;0;0;0;0
"3";3;0;0;0;0;0;0;0;0;2
"4";4;0;0;0;0;0;0;0;0;1
"5";5;0;0;0;0;0;0;0;0;1
"6";6;0;0;0;0;0;0;0;0;1
"7";7;0;0;0;0;0;0;0;0;1
"8";8;0;0;0;0;0;0;0;0;1
"9";9;0;0;0;0;0;0;0;0;2
"10";10;0;0;0;0;0;0;0;0;1
"11";11;0;0;0;0;0;0;0;0;2
"12";12;0;0;0;0;0;0;0;0;2
"13";13;0;0;0;0;0;0;0;0;1
"14";14;0;0;0;0;0;0;0;0;2
"15";15;0;0;0;0;0;0;0;0;2
"16";16;0;0;0;0;0;0;0;0;2
"17";17;0;0;0;0;0;0;0;0;1
"18";18;0;0;0;0;0;0;0;0;1
"19";19;0;0;0;0;0;0;0;0;1
"20";20;0;0;0;0;0;0;0;0;1
"21";21;0;0;0;0;0;0;0;0;2
"22";22;0;0;0;0;0;0;0;0;2
"23";23;0;0;0;0;0;0;0;0;1
"24";24;0;0;0;0;0;0;0;0;1
"25";25;0;0;0;0;0;0;0;0;1
"26";26;0;0;0;0;0;0;0;0;1
"27";27;0;0;0;0;0;0;0;0;1
"28";28;0;0;0;0;0;0;0;0;1
"29";29;0;0;0;0;0;0;0;0;1
"30";30;0;0;0;0;0;0;0;0;2
"31";31;0;0;0;0;0;0;0;0;0
"32";32;0;0;0;0;0;0;0;0;2
"33";33;0;0;0;0;0;0;0;0;0
"34";34;0;0;0;0;0;0;0;0;0
"35";35;0;0;0;0;0;0;0;0;1
"36";36;0;0;0;0;0;0;0;0;1
"37";37;0;0;0;0;0;0;0;0;1
"38";38;0;0;0;0;0;0;0;0;1
"39";39;0;0;0;0;0;0;0;0;1
"40";40;0;0;0;0;0;0;0;0;1
"41";41;0;0;0;0;0;0;0;0;2
"42";42;0;0;0;0;0;0;0;0;1
"43";43;0;0;0;0;0;0;0;0;1
"44";44;0;0;0;0;0;0;0;0;1
"45";45;0;0;0;0;0;0;0;0;1
"46";46;0;0;0;0;0;0;0;0;1
"47";47;0;0;0;0;0;0;0;0;2
"48";48;0;0;0;0;0;0;0;0;1
"49";49;0;0;0;0;0;0;0;0;0
"50";50;0;0;0;0;0;0;0;0;1
"51";51;0;0;0;0;0;0;0;0;2
"52";52;0;0;0;0;0;0;0;0;1
"53";53;0;0;0;0;0;0;0;0;1
"54";54;0;0;0;0;0;0;0;0;1
"55";55;0;0;0;0;0;0;0;0;0
"56";56;0;0;0;0;0;0;0;0;0
"57";57;0;0;0;0;0;0;0;0;1
"58";58;0;0;0;0;0;0;0;0;0
"59";59;0;0;0;0;0;0;0;0;0
"60";60;0;0;0;0;0;0;0;0;2
"61";61;0;0;0;0;0;0;0;0;1
"62";62;0;0;0;0;0;0;0;0;1
"63";63;0;0;0;0;0;0;0;0;1
"64";64;0;0;0;0;0;0;0;0;1
"65";65;0;0;0;0;0;0;0;0;2
"66";66;0;0;0;0;0;0;0;0;1
"67";67;0;0;0;0;0;0;0;0;1
"68";68;0;0;0;0;0;0;0;0;0
"69";69;0;0;0;0;0;0;0;0;0
"70";70;0;0;0;0;0;0;0;0;1
"71";71;0;0;0;0;0;0;0;0;0
"72";72;0;0;0;0;0;0;0;0;0
"73";73;0;0;0;0;0;0;0;0;1
"74";74;0;0;0;0;0;0;0;0;0
"75";75;0;0;0;0;0;0;0;0;1
"76";76;0;0;0;0;0;0;0;0;0
"77";77;0;0;0;0;0;0;0;0;0
"78";78;0;0;0;0;0;0;0;0;0
"79";79;0;0;0;0;0;0;0;0;0
"80";80;0;0;0;0;0;0;0;0;1
"81";81;0;0;0;0;0;0;0;0;1
"82";82;0;0;0;0;0;0;0;0;0
"83";83;0;0;0;0;0;0;0;0;1
"84";84;0;0;0;0;0;0;0;0;1
"85";85;0;0;0;0;0;0;0;0;1
"86";86;0;0;0;0;0;0;0;0;1
"87";87;0;0;0;0;0;0;0;0;1
"88";88;0;0;0;0;0;0;0;0;2
"89";89;0;0;0;0;0;0;0;0;1
"90";90;0;0;0;0;0;0;0;0;1
"91";91;0;0;0;0;0;0;0;0;1
"92";92;0;0;0;0;0;0;0;0;1
"93";93;0;0;0;0;0;0;0;0;1
"94";94;0;0;0;0;0;0;0;0;1
"95";95;0;0;0;0;0;0;0;0;1
