"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"1";0;0;0;0;0;0;0;0;2
"2";0;0;0;0;0;0;0;0;0
"3";0;0;0;0;0;0;0;0;2
"4";0;0;0;0;0;0;0;0;1
"5";0;0;0;0;0;0;0;0;1
"6";0;0;0;0;0;0;0;0;1
"7";0;0;0;0;0;0;0;0;1
"8";0;0;0;0;0;0;0;0;1
"9";0;0;0;0;0;0;0;0;2
"10";0;0;0;0;0;0;0;0;1
"11";0;0;0;0;0;0;0;0;2
"12";0;0;0;0;0;0;0;0;2
"13";0;0;0;0;0;0;0;0;1
"14";0;0;0;0;0;0;0;0;2
"15";0;0;0;0;0;0;0;0;2
"16";0;0;0;0;0;0;0;0;2
"17";0;0;0;0;0;0;0;0;1
"18";0;0;0;0;0;0;0;0;1
"19";0;0;0;0;0;0;0;0;1
"20";0;0;0;0;0;0;0;0;1
"21";0;0;0;0;0;0;0;0;2
"22";0;0;0;0;0;0;0;0;2
"23";0;0;0;0;0;0;0;0;1
"24";0;0;0;0;0;0;0;0;1
"25";0;0;0;0;0;0;0;0;1
"26";0;0;0;0;0;0;0;0;1
"27";0;0;0;0;0;0;0;0;1
"28";0;0;0;0;0;0;0;0;1
"29";0;0;0;0;0;0;0;0;1
"30";0;0;0;0;0;0;0;0;2
"31";0;0;0;0;0;0;0;0;0
"32";0;0;0;0;0;0;0;0;2
"33";0;0;0;0;0;0;0;0;0
"34";0;0;0;0;0;0;0;0;0
"35";0;0;0;0;0;0;0;0;1
"36";0;0;0;0;0;0;0;0;1
"37";0;0;0;0;0;0;0;0;1
"38";0;0;0;0;0;0;0;0;1
"39";0;0;0;0;0;0;0;0;1
"40";0;0;0;0;0;0;0;0;1
"41";0;0;0;0;0;0;0;0;2
"42";0;0;0;0;0;0;0;0;1
"43";0;0;0;0;0;0;0;0;1
"44";0;0;0;0;0;0;0;0;1
"45";0;0;0;0;0;0;0;0;1
"46";0;0;0;0;0;0;0;0;1
"47";0;0;0;0;0;0;0;0;2
"48";0;0;0;0;0;0;0;0;1
"49";0;0;0;0;0;0;0;0;0
"50";0;0;0;0;0;0;0;0;1
"51";0;0;0;0;0;0;0;0;2
"52";0;0;0;0;0;0;0;0;1
"53";0;0;0;0;0;0;0;0;1
"54";0;0;0;0;0;0;0;0;1
"55";0;0;0;0;0;0;0;0;0
"56";0;0;0;0;0;0;0;0;0
"57";0;0;0;0;0;0;0;0;1
"58";0;0;0;0;0;0;0;0;0
"59";0;0;0;0;0;0;0;0;0
"60";0;0;0;0;0;0;0;0;2
"61";0;0;0;0;0;0;0;0;1
"62";0;0;0;0;0;0;0;0;1
"63";0;0;0;0;0;0;0;0;1
"64";0;0;0;0;0;0;0;0;1
"65";0;0;0;0;0;0;0;0;2
"66";0;0;0;0;0;0;0;0;1
"67";0;0;0;0;0;0;0;0;1
"68";0;0;0;0;0;0;0;0;0
"69";0;0;0;0;0;0;0;0;0
"70";0;0;0;0;0;0;0;0;1
"71";0;0;0;0;0;0;0;0;0
"72";0;0;0;0;0;0;0;0;0
"73";0;0;0;0;0;0;0;0;1
"74";0;0;0;0;0;0;0;0;0
"75";0;0;0;0;0;0;0;0;1
"76";0;0;0;0;0;0;0;0;0
"77";0;0;0;0;0;0;0;0;0
"78";0;0;0;0;0;0;0;0;0
"79";0;0;0;0;0;0;0;0;0
"80";0;0;0;0;0;0;0;0;1
"81";0;0;0;0;0;0;0;0;1
"82";0;0;0;0;0;0;0;0;0
"83";0;0;0;0;0;0;0;0;1
"84";0;0;0;0;0;0;0;0;1
"85";0;0;0;0;0;0;0;0;1
"86";0;0;0;0;0;0;0;0;1
"87";0;0;0;0;0;0;0;0;1
"88";0;0;0;0;0;0;0;0;2
"89";0;0;0;0;0;0;0;0;1
"90";0;0;0;0;0;0;0;0;1
"91";0;0;0;0;0;0;0;0;1
"92";0;0;0;0;0;0;0;0;1
"93";0;0;0;0;0;0;0;0;1
"94";0;0;0;0;0;0;0;0;1
"95";0;0;0;0;0;0;0;0;1
"96";0;0;0;0;0;0;0;0;0
"97";0;0;0;0;0;0;0;0;0
"98";0;0;0;0;0;0;0;0;1
"99";0;0;0;0;0;0;0;0;1
"100";0;0;0;0;0;0;0;0;0
"101";0;0;0;0;0;0;0;0;0
"102";0;0;0;0;0;0;0;0;2
"103";0;0;0;0;0;0;0;0;0
"104";0;0;0;0;0;0;0;0;0
"105";0;0;0;0;0;0;0;0;0
"106";0;0;0;0;0;0;0;0;0
"107";0;0;0;0;0;0;0;0;0
"108";0;0;0;0;0;0;0;0;0
"109";0;0;0;0;0;0;0;0;1
"110";0;0;0;0;0;0;0;0;2
"111";0;0;0;0;0;0;0;0;2
"112";0;0;0;0;0;0;0;0;1
