"";"classe 1";"classe 2"
"balloon";0;0
"chinese";0;0
"spy";0;0
"fly";0,001;0,001
"china";0;0
"taiwan";0,394;0,394
"down";0,001;0,001
"military";0;0
"biden";0;0
"like";0;0
"what";0,042;0,042
"shoot";0;0
"https";0;0
"know";0,313;0,313
"trump";0;0
"state";0,403;0,403
"base";0;0
"time";0;0
"ministry";0,128;0,128
"country";0,009;0,009
"thing";0,953;0,953
"detect";0,476;0,476
"person";0,082;0,082
"cross";0,078;0,078
"allow";0;0
"high";0;0
"airspace";0,307;0,307
"war";0,171;0,171
"weather";0,005;0,005
"russian";0;0
"air";0;0
"year";0,001;0,001
"satellite";0;0
"report";0,571;0,571
"missile";0,121;0,121
"joe";0,002;0,002
"unite";0,854;0,854
"need";0,489;0,489
"surveillance";0,022;0,022
"secret";0,307;0,307
"defense";0,559;0,559
"day";0,003;0,003
"news";0,209;0,209
"man";0,004;0,004
"intelligence";0;0
"border";0;0
"administration";0;0
"national";0,29;0,29
"government";0,729;0,729
"well";0,142;0,142
"official";0,009;0,009
"nuclear";0,716;0,716
"let";0;0
"area";0,024;0,024
"america";0,001;0,001
"silo";0;0
"russia";0;0
"remember";0;0
"reason";0,015;0,015
"0001f923";0,013;0,013
"world";0,568;0,568
"montana";0,96;0,96
"information";0,011;0,011
"american";0,42;0,42
"president";0,006;0,006
"defence";0,476;0,476
"tell";0,017;0,017
"big";0,108;0,108
"track";0,003;0,003
"good";0,019;0,019
"float";0,06;0,06
"equipment";0,093;0,093
"coast";0,006;0,006
"classify";0,002;0,002
"ccp";0,626;0,626
"post";0;0
"north";0,238;0,238
"lol";0,008;0,008
"happen";0,002;0,002
"gt";0;0
"entire";0,181;0,181
"election";0,108;0,108
"document";0,015;0,015
"call";0,407;0,407
"believe";0,17;0,17
"back";0,181;0,181
"www";0,001;0,001
"worry";0,79;0,79
"sub";0,06;0,06
"stuff";0,577;0,577
"spot";0,436;0,436
"south";0,572;0,572
"point";0,572;0,572
"home";0,002;0,002
"force";0,018;0,018
"aware";0,997;0,997
"watch";0,395;0,395
"threat";0,96;0,96
"start";0,347;0,347
"ship";0,014;0,014
"nation";0,79;0,79
"find";0,091;0,091
"enter";0,038;0,038
"cause";0,025;0,025
"ukraine";0,002;0,002
"space";0;0
"release";0;0
"reddit";0,001;0,001
"org";0,01;0,01
"money";0,509;0,509
"launch";0,075;0,075
"house";0,137;0,137
"fe0f";0,394;0,394
"claim";0,075;0,075
"bad";0,038;0,038
"story";0,014;0,014
"source";0,003;0,003
"question";0,01;0,01
"public";0,001;0,001
"past";0,78;0,78
"old";0,013;0,013
"mark";0,035;0,035
"late";0,534;0,534
"incident";0,005;0,005
"hunter";0,005;0,005
"hear";0,075;0,075
"give";0,204;0,204
"answer";0;0
"altitude";0,001;0,001
"work";0,436;0,436
"word";0,571;0,571
"white";0,003;0,003
"wait";0,021;0,021
"talk";0,436;0,436
"rule";0,002;0,002
"problem";0,034;0,034
"previous";0,128;0,128
"object";0,128;0,128
"navy";0,108;0,108
"move";0,858;0,858
"million";0,003;0,003
