"";"Valeurs propres";"Pourcentages";"Pourcentage cumules"
"facteur 1";0,591307850552153;17,053199363354;17,053199363354
"facteur 2";0,431822442092239;12,4536722921791;29,5068716555331
"facteur 3";0,399068660599196;11,5090598281588;41,0159314836919
"facteur 4";0,35233746481267;10,1613415499533;51,1772730336452
"facteur 5";0,311553799514671;8,98514885363508;60,1624218872803
"facteur 6";0,292428828968002;8,4335885534529;68,5960104407332
"facteur 7";0,274679215013201;7,92169326048302;76,5177037012162
"facteur 8";0,237753053903191;6,85675020832445;83,3744539095407
"facteur 9";0,214848184979806;6,19617839995553;89,5706323094962
"facteur 10";0,191565981967338;5,5247243524252;95,0953566619214
"facteur 11";0,170065103220244;4,90464333807859;100
