"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Coord. facteur 7";"Coord. facteur 8";"Coord. facteur 9";"Coord. facteur 10";"Coord. facteur 11";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"Corr. facteur 7";"Corr. facteur 8";"Corr. facteur 9";"Corr. facteur 10";"Corr. facteur 11";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"COR -facteur 7";"COR -facteur 8";"COR -facteur 9";"COR -facteur 10";"COR -facteur 11";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"CTR -facteur 7";"CTR -facteur 8";"CTR -facteur 9";"CTR -facteur 10";"CTR -facteur 11";"mass";"chi.distance";"inertie"
"balloon";0,177023934568053;0,28880083272632;-0,0229097277135752;-0,0762863005200764;0,0410122558215425;0,124388119288823;0,0682814863426755;0,0591849356014732;-0,195503193995657;0,0250817764954789;0,277616032167787;0,345628111713393;0,563865483613917;-0,0447298041862638;-0,148944209508677;0,0800738531277932;0,242859988929062;0,133315312684626;0,115554868801948;-0,381707704890492;0,0489705929862109;0,542027863145423;0,216959693163886;0,421699927126824;0,00245238647900017;0,0240078555028215;0,00613566729319755;0,0529760316158663;0,0149945406026518;0,00975101663692725;0,0961481290417705;0,00141103053382149;0,153463722003222;0,00195655401102732;0,00520744563892294;3,27693417633812e-05;0,000363346492010785;0,000105015928880644;0,000966018993977762;0,000291094362778251;0,000218700724379846;0,0023863578894383;3,92775553903741e-05;0,00481190393235708;0,0624349635796046;0,292246475816858;0,00533244553344682
"chinese";0,19270436784795;0,355910982969819;0,0351644225199638;0,165067601647268;-0,0691573897673786;0,0337245008398191;0,0700335705687948;-0,0487715510607804;-0,280749835179395;0,108170555335392;0,363704960825681;0,294454888256201;0,543836810187006;0,0537317146432283;0,252225534587343;-0,1056734297383;0,0515314947823104;0,107012245888938;-0,0745235916448711;-0,428989556743847;0,16528607597014;0,55574611408213;0,166148892874888;0,413893569376374;0,00373383646295177;0,0726412313446362;0,0112748540322301;0,00251658692302593;0,0101938684543288;0,00427917382903479;0,128136069701223;0,0169604432681233;0,170221473733181;0,00208666863989034;0,00711792081282136;6,94828064545024e-05;0,00153106650169966;0,000268749434141108;6,39089132906635e-05;0,000275602345845136;0,000133660631025195;0,00442903785377304;0,00065748899921397;0,00743308025034063;0,0561914672216441;0,363537867340695;0,00742625200155415
"spy";-0,490323184068429;0,613763218702435;-0,0209100497667964;0,160080360348763;0,112179274643686;0,0237797293346175;0,166569403929674;-0,335233240792476;-1,05299856352571;0,321240543596505;0,672499577174114;-0,312572996109694;0,391263995677137;-0,0133298141241843;0,102048606874664;0,0715124495763097;0,0151591878302081;0,106185265837313;-0,213705698353115;-0,671269331320264;0,204785583154993;0,428707461832928;0,206818938925042;0,236656659534658;0,000253845553127555;0,0131355038221015;0,0057038764596479;0,00024057240110529;0,0110873578374571;0,0388715679209529;0,346576450979105;0,0287601335203654;0,111895093046434;0,00700486066116551;0,0109758044554581;1,2739276873046e-05;0,000746639135840706;0,000366656930768301;1,64758738422214e-05;0,000808397770149462;0,00327437785692229;0,032306521637921;0,00300673634943286;0,013177064595611;0,0291363163371488;0,829075531950759;0,0200273201405038
"fly";1,04999804081245;0,210915883005286;0,0665269060002943;-0,0669297284244662;-0,214740701884458;-0,0110955385933229;-0,375568137154857;0,007091686989942;-0,00224941951405667;0,377706134435591;0,155237106429077;0,854478903422522;0,171641436859539;0,054138994053017;-0,054466807296377;-0,174754039849861;-0,00902944889570351;-0,305633951229289;0,00577115069461714;-0,00183055724391745;0,307373834068069;0,126330552359284;0,858848818579638;0,0253075369885373;0,00232684993574369;0,00207932823511661;0,0189272661329717;4,74289010528309e-05;0,0510421991632978;1,57525664939088e-05;1,43218363228549e-06;0,0360041503889688;0,00539923692453919;0,0190441536969674;0,000768428159297329;7,64503278717327e-05;7,73789488863147e-05;0,000796550724412874;2,1265787854529e-06;0,00243647623904588;8,68727996286148e-07;8,7402854623969e-08;0,00246429546122642;0,000416270637801296;0,0172736732570239;0,871238281928222;0,0131116878134175
"china";-0,372977992240472;-1,16545242140637;0,89190621034686;0,31644272925611;0,132002352467342;0,169276878701792;0,298649413312956;-0,124305089490738;0,117558129923325;0,503341524118295;-0,260327094150447;-0,219829393976945;-0,686905674964179;0,525680350540394;0,186508091222527;0,0778008294058216;0,0997700519427211;0,176020893741712;-0,0732641417442691;0,0692875531418639;0,296664319376295;-0,153434112825551;0,0730184267862078;0,520651014865269;0,281798328229264;0,0313185380739976;0,00481890990898126;0,00743820054038981;0,0217471095649122;0,00326104159475992;0,00263566032975017;0,0430820462757656;0,0102307238307029;0,00199766247783675;0,019504947952711;0,0114233655516786;0,00143795714090215;0,000250218283647648;0,000411482134182823;0,00128079325140061;0,000221887848877779;0,000198454538993503;0,00363815517236613;0,000973182834644807;0,0143600416233091;1,06138707192276;0,0161771974265742
"taiwan";2,90919616273485;-0,374610051695419;-0,107851803033407;0,0874398032146764;0,209329954795975;-0,111608268440647;-0,063367907851891;0,007712289487257;-0,032641428010645;-0,00432917718388794;0,0360980750638873;0,987117458649705;-0,127108693099125;-0,0365951251706049;0,0296691427823695;0,0710276108721424;-0,0378697290057805;-0,0215013236164537;0,00261685193200422;-0,0110755417174328;-0,00146893029577849;0,0122484143818316;0,982951178235441;0,0119024496330277;0,000911747820191147;0,00052911425083133;0,00268144011231294;0,000715459765997924;0,000216639091400614;2,77757017525155e-06;4,49616540839191e-05;7,05182299092445e-07;4,35266842386943e-05;0,0986371799257412;0,00163551106900098;0,000135565585719705;8,91072371339012e-05;0,000510690047574103;0,000145173509411423;4,67986550987393e-05;6,93204352044594e-07;1,24174647375964e-05;2,18426515090899e-07;1,51866758180667e-05;0,0116545265348595;2,25638838124661;0,0593365572348352
"down";-0,472620768615375;-0,116126734224;-0,358633603700939;-1,05131542475626;-0,514289235371066;2,00287958505076;0,0209585397473753;0,341272109253058;0,351883441292425;0,010956467267259;-0,123415898479424;-0,192901014119372;-0,0473973347887523;-0,146376948380566;-0,429096275622755;-0,209908073537265;0,817478893801431;0,00855426557655161;0,139290823292505;0,14362185749049;0,00447190176007684;-0,0503724202490747;0,0698405472191055;0,00307920085672396;0,0271405077364568;0,20591751194714;0,0435728838635734;0,620294955308216;6,37993454402541e-05;0,0146418543251554;0,0140668784414564;1,21598401432589e-05;0,00136970111658813;0,00283571151852692;0,000171198860040254;0,00163282034628821;0,014031448795454;0,00335777283553213;0,050926768900104;5,57645862411675e-06;0,00147855687945804;0,0015719332636012;1,52397391752125e-06;0,000193365353558063;0,0126951092611863;1,37519982328585;0,0240086675945665
"military";-0,333350719729527;1,00135427996726;0,198973402049724;0,515349409043638;-0,389997087677155;0,338025831137374;-0,826115915171429;-1,58597456866787;-0,79045374979381;0,874912754056754;-1,30194148723254;-0,118090058099168;0,354731452792812;0,0704866652974557;0,182563402607061;-0,138157130063104;0,119746224248204;-0,292652964716549;-0,561834182058324;-0,280019582119379;0,309939327690954;-0,461214981007853;0,0321543870705828;0,211887102502517;0,00773145924161183;0,0457916387602449;0,0231888694750176;0,0163509789683491;0,0917342620518427;0,292645828854796;0,0656913842434625;0,0717582239802188;0,141065864851356;0,000901932443584504;0,00813854430100754;0,000321337393175111;0,00215563278307252;0,00123450809728821;0,000927408332596957;0,00553927839889315;0,020415670752547;0,00507135652278058;0,00621299079318122;0,013757963332136;0,00811654526534859;1,42951297604088;0,0165862198955465
"biden";-0,472010570302195;1,08075182709013;0,737767431351801;0,965893836962431;-0,156981672619308;-0,201105911170899;-0,791693921301334;0,417394263849031;-1,17516260726569;0,940389823314774;-0,746013275366056;-0,18434495249618;0,422090429240887;0,288136983878778;0,377232343286708;-0,0613095994084405;-0,0785424352208156;-0,309198114398944;0,163014412351328;-0,458962804313861;0,367271684606269;-0,29135741964598;0,0666734308323639;0,255265942623349;0,109931534892502;0,166361690398477;0,00388567672296289;0,00598557072677131;0,0871316880328604;0,0209630642926527;0,150163135075837;0,0857373272678246;0,0479009391343987;0,00236472276843438;0,0123973465347953;0,00577717792319151;0,00990228847416907;0,000261562023403981;0,000429265965224091;0,00665259989933395;0,00184913975987468;0,0146579323265952;0,00938626098012353;0,0059070397831721;0,0106139438085328;1,40566601599476;0,0209720591830701
"like";-0,468694686592067;0,609459348958425;-0,312368548851904;0,0725049216971127;0,0236715219986475;0,20557180495955;-0,805822836794384;-0,092512069773848;-1,14663131497904;-0,64530360046881;3,44645062510341;-0,121000809214818;0,157341391991692;-0,080642789998675;0,0187182710800463;0,00611117087332305;0,0530715526833057;-0,208035674662481;-0,0238834269408225;-0,296020673911057;-0,166595141954151;0,889754730501967;0,0446944762461738;0,055189294586832;0,0133980739506444;0,000637314717793532;6,00683308438707e-05;0,0042521387796686;0,0613712666335022;0,000700137027345207;0,0971939948969511;0,027447747747941;0,695055487082307;0,00196587148747229;0,00332402705835829;0,000873191830053967;4,7044628058916e-05;5,014497608844e-06;0,000378183138554854;0,00581104455876628;7,65899628127318e-05;0,0117658324697387;0,0037265181439031;0,106296554044715;0,00894901144640999;1,70478622069758;0,0260084766922069
