"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12"
"balloon";0,006;0;0;0,078;0,947;0,473;0,531;0;0;0,019;0,023;0,004
"chinese";0;0;0;0,216;0,631;0,274;0,002;0;0;0,07;0;0,001
"spy";0;0;0;0,007;0,332;0,403;0,036;0,009;0,034;0,088;0,397;0,007
"fly";0,841;0,188;0;0,616;0,447;0,11;0,028;0,013;0,002;0,258;0,039;0,1
"china";0,036;0,497;0,357;0,016;0,001;0,169;0,18;0;0,355;0,049;0,09;0,192
"taiwan";0,078;0,011;0;0,011;0,084;0,04;0,007;0,046;0,015;0,04;0,019;0,037
"down";0,378;0,74;0,005;0,084;0;0,625;0;0,037;0,011;0,893;0,142;0,029
"military";0,523;0;0,096;0,347;0,981;0,314;0,027;0,102;0,046;0,002;0,054;0,087
"biden";0,57;0;0,011;0,002;0,032;0,051;0,011;0,563;0,021;0,016;0,026;0,322
"like";0;0,27;0,02;0,596;0,175;0,075;0,802;0,085;0,125;0,988;0,774;0,603
"what";0,033;0,763;0,012;0,184;0,125;0,494;0,128;0,064;0,898;0;0,578;0,63
"shoot";0,104;0,371;0,038;0,057;0;0,454;0;0,058;0,021;0,91;0,026;0,048
"https";0,312;0,061;0,426;0,534;0,078;0;0,047;0,002;0,252;0,212;0,689;0,124
"know";0,326;0,576;0,02;0,099;0,873;0,633;0,431;0,697;0;0,283;0,769;0,245
"trump";0,06;0,347;0,027;0;0,219;0,087;0,027;0,102;0,046;0,131;0,054;0,298
"state";0,497;0;0,025;0,675;0,067;0,02;0,53;0,781;0,043;0,675;0,88;0,284
"island";0,06;0,038;0;0,038;0,063;0,092;0,027;0,102;0,046;0,038;0,054;0,087
"base";0,175;0;0,387;0,133;0,181;0,224;0,387;0,238;0,151;0;0,165;0,573
"time";0;0,679;0,493;0,114;0,12;0,862;0,224;0,17;0,095;0,801;0,845;0,894
"ministry";0,072;0,046;0;0,046;0,075;0,106;0,034;0,183;0,056;0,161;0,065;0,101
"country";0,096;0;0,177;0,567;0,804;0,462;0,177;0,503;0,078;0,05;0,089;0,467
"thing";0;0,951;0,051;0,487;0,101;0,462;0,023;0,503;0,078;0,066;0,094;0,984
"detect";0,068;0,15;0;0,043;0,245;0,346;0,032;0,112;0,053;0,043;0,061;0,096
"person";0,254;0,716;0,709;0,593;0,89;0,306;0,629;0,321;0,781;0,02;0,455;0,984
"cross";0,728;0,012;0;0,212;0,767;0,129;0,047;0,141;0,618;0,212;0,286;0,124
"allow";0,372;0;0,059;0,076;0,113;0,15;0,059;0,162;0,089;0,852;0,1;0,017
"high";0,138;0,346;0,792;0,1;0,143;0;0,109;0,197;0,115;0,1;0,141;0,6
"airspace";0,942;0,087;0,007;0,749;0,028;0,165;0,007;0,178;0,101;0,749;0,113;0,159
"war";0,193;0,311;0,253;0,282;0,337;0,383;0,253;0,397;0,257;0,04;0,319;0,115
"weather";0,198;0,154;0,436;0,154;0,696;0,008;0,123;0,89;0,593;0,533;0,697;0,474
"russian";0,138;0,346;0,081;0,1;0,487;0,183;0,081;0,196;0,115;0,1;0,44;0
"air";0,942;0,26;0,474;0,26;0,231;0,361;0,009;0,376;0,281;0,26;0,031;0,354
"year";0,599;0,98;0,006;0;0,617;0,224;0,387;0,238;0,151;0,98;0,165;0,217
"satellite";0,637;0,495;0,12;0,143;0,655;0,235;0,03;0,25;0,066;0,143;0;0,229
"report";0,198;0,154;0;0,533;0,624;0,248;0,988;0,262;0,593;0,533;0,187;0,241
"missile";0,224;0,178;0,153;0,617;0,786;0,275;0,534;0,29;0,197;0,178;0;0
"joe";0,184;0,001;0,13;0,001;0,204;0,248;0,13;0,068;0,172;0,154;0,187;0,819
"unite";0,599;0;0,111;0,43;0,238;0,545;0,891;0,489;0,151;0,133;0,165;0,217
"need";0,76;0,121;0,111;0,002;0,181;0,224;0,387;0,238;0,35;0,133;0,007;0,217
"surveillance";0,165;0,429;0,103;0,483;0;0,001;0,357;0,226;0,941;0,964;0,531;0,206
"secret";0,474;0,191;0,166;0,192;0,245;0,002;0,579;0,967;0,145;0,192;0,516;0,283
"defense";0,175;0,133;0;0,133;0,734;0,545;0,111;0,238;0,151;0,133;0,165;0,737
"day";0,155;0,536;0;0,399;0,16;0,202;0,095;0,216;0,132;0,177;0,145;0,665
"news";0,721;0,573;0,141;0,057;0,216;0;0,141;0,276;0,707;0,166;0,2;0,864
"man";0,721;0;0,141;0,166;0,216;0,261;0,923;0,276;0,634;0,166;0,2;0,864
"intelligence";0,239;0,192;0,166;0,664;0;0;0,579;0,305;0,212;0,192;0,227;0,283
"border";0,063;0;0,103;0,429;0,17;0,212;0,103;0,226;0,484;0,964;0,155;0,7
"administration";0,211;0,573;0,141;0;0,216;0,887;0,141;0,276;0,184;0,573;0,2;0,077
"national";0,028;0,533;0,988;0,533;0,696;0,842;0,13;0,89;0;0,154;0,187;0,819
"government";0,991;0,241;0,213;0,241;0;0,342;0,744;0,796;0,9;0,834;0,278;0,865
"well";0,02;0,796;0,141;0,166;0,216;0,261;0;0,276;0,184;0,166;0,685;0,254
"official";0,186;0,143;0,419;0,378;0,003;0;0,419;0,847;0,161;0,495;0,602;0,229
"nuclear";0,239;0,662;0,166;0,192;0,245;0,985;0,166;0,305;0,212;0,664;0;0
"let";0,474;0;0,166;0,029;0,245;0,29;0,166;0,305;0,212;0,662;0,227;0,962
"area";0,309;0,26;0;0,06;0,315;0,361;0,811;0,376;0,281;0,26;0,979;0,799
"america";0,678;0,01;0,13;0,533;0,204;0,449;0,13;0,262;0,172;0;0,187;0,819
"silo";0,271;0,223;0,196;0,223;0,277;0,903;0,196;0,338;0,838;0,223;0;0,316
"russia";0,415;0;0,181;0,207;0,26;0,961;0,181;0,321;0,227;0,593;0,243;0,001
"remember";0;0,191;0,166;0,664;0,245;0,29;0,166;0,305;0,212;0,029;0,227;0,962
"reason";0,29;0,241;0,213;0,834;0,296;0,342;0;0,796;0,261;0,241;0,278;0,865
"world";0,29;0,834;0,213;0,086;0,296;0,342;0,213;0;0,261;0,241;0,954;0,865
"montana";0,791;0,305;0,276;0,305;0,36;0,406;0,965;0,42;0,326;0;0,011;0,399
"information";0,271;0,223;0,196;0,223;0,339;0,323;0,632;0,338;0;0,773;0,065;0,316
"american";0,002;0,834;0,213;0,241;0,001;0,342;0,213;0,15;0,261;0,451;0,278;0,335
"strait";0,211;0,166;0;0,166;0,216;0,261;0,141;0,276;0,184;0,166;0,2;0,254
"president";0,254;0,593;0,181;0;0,26;0,306;0,181;0,913;0,781;0,593;0,243;0,033
"defence";0,211;0,166;0;0,166;0,216;0,261;0,141;0,276;0,184;0,573;0,638;0,254
"tell";0,239;0,192;0,166;0;0,245;0,985;0,579;0,305;0,212;0,662;0,227;0,283
"big";0,357;0,117;0,196;0,223;0,277;0,323;0,632;0,856;0,838;0,223;0;0,316
"track";0,991;0,241;0,213;0,241;0,99;0,342;0;0,356;0,261;0,834;0,278;0,335
"ly";0,56;0,519;0,009;0,519;0,187;0,125;0,494;0,612;0,537;0,519;0,551;0,596
"good";0,514;0,412;0,444;0,412;0,52;0,558;0,03;0,57;0,365;0,47;0,504;0,553
"float";0,991;0,451;0,213;0,241;0,296;0,842;0,744;0,356;0,261;0;0,954;0,192
"equipment";0,869;0,282;0,253;0,282;0,013;0;0,884;0,397;0,302;0,975;0,319;0,376
"coast";0,239;0,662;0,166;0,192;0,453;0,29;0,166;0,305;0,212;0,664;0,227;0
"ccp";0,3;0,451;0,213;0,241;0,296;0,342;0,744;0;0,261;0,834;0,278;0,192
"post";0,254;0,207;0,629;0,207;0,89;0,306;0,629;0,913;0;0,207;0,243;0,299
"north";0,354;0,305;0;0,305;0,772;0,406;0,276;0,42;0,326;0,944;0,343;0,082
"lol";0,3;0,241;0,213;0,241;0,296;0,342;0,015;0,796;0;0,241;0,278;0,335
"happen";0,357;0,773;0,196;0,001;0,277;0,903;0,196;0,338;0,243;0,012;0,26;0,926
"gt";0,309;0,26;0,232;0,26;0,231;0,361;0,474;0,732;0;0,26;0,979;0,354
"entire";0,103;0;0,302;0,331;0,386;0,431;0,302;0,445;0,352;0,331;0,368;0,424
"election";0,271;0,223;0;0,522;0,277;0,323;0,196;0,338;0,243;0,223;0,26;0,316
"call";0,271;0,773;0,196;0,001;0,277;0;0,196;0,338;0,243;0,223;0,26;0,316
"believe";0,309;0,26;0,232;0,26;0,231;0,361;0,095;0,732;0,319;0,004;0,298;0,354
"back";0,44;0,653;0,364;0,392;0,502;0,387;0,364;0,011;0,412;0,653;0,428;0,404
"www";0,309;0,26;0,232;0,901;0,922;0;0,232;0,005;0,281;0,26;0,298;0,354
"worry";0,331;0,04;0,253;0,282;0,85;0,383;0;0,397;0,302;0,975;0,319;0,729
"sub";0,991;0,086;0,213;0,241;0,296;0,842;0,744;0,356;0,261;0,241;0,278;0
"stuff";0,791;0,305;0,276;0,944;0,36;0,634;0,317;0,42;0;0,305;0,343;0,655
"spot";0,929;0,223;0,002;0,522;0,339;0,323;0,684;0,338;0,243;0,522;0,26;0,926
"south";0,309;0,26;0,232;0,901;0,001;0,361;0,232;0,376;0,281;0;0,979;0,354
"point";0,514;0,47;0,444;0,47;0,293;0,209;0,482;0,57;0,489;0,47;0,329;0,221
"home";0,097;0,577;0,554;0,577;0,619;0,651;0,554;0,661;0,593;0,001;0,605;0,646
"force";0,514;0,47;0,444;0,47;0,293;0,558;0,03;0,001;0,489;0,47;0,504;0,553
"aware";0,29;0,241;0,213;0;0;0,342;0,213;0,356;0,261;0,834;0,954;0,335
"watch";0,309;0,26;0,232;0,004;0,315;0,139;0,811;0,376;0,042;0,26;0,979;0,799
"threat";0,309;0,26;0,474;0,26;0,231;0,361;0,474;0,376;0,281;0,004;0,979;0,799
"start";0,29;0,451;0;0,834;0,296;0,342;0,744;0,356;0,9;0,451;0,278;0,335
"ship";0,991;0,241;0;0,241;0,296;0,342;0,213;0,356;0,261;0,241;0,278;0
"nation";0,791;0,001;0,276;0,305;0,36;0,406;0,041;0,42;0,326;0,944;0,827;0,399
"find";0,305;0,47;0,444;0,47;0,52;0,558;0,482;0,57;0,489;0,412;0,009;0,553
"enter";0,309;0;0,232;0,38;0,922;0,361;0,811;0,376;0,281;0,26;0,298;0,799
"directly";0,29;0,241;0;0,241;0,296;0,342;0,213;0,356;0,261;0,241;0,278;0,335
"cause";0,354;0,944;0,276;0,305;0,772;0,406;0,041;0,42;0;0,305;0,343;0,399
"ukraine";0,706;0;0,302;0,331;0,386;0,431;0,302;0,445;0,352;0,331;0,368;0,055
"taipei";0,331;0,282;0;0,282;0,337;0,383;0,253;0,397;0,302;0,975;0,319;0,376
"space";0,354;0,305;0,276;0,305;0,36;0,406;0,041;0,42;0;0,305;0,166;0,399
"release";0,331;0,282;0,884;0,282;0,85;0,383;0,253;0;0,959;0,282;0,319;0,376
"reddit";0,44;0,392;0,364;0,392;0,445;0,488;0,114;0,501;0;0,392;0,428;0,481
"org";0,514;0,47;0,444;0,47;0,293;0,209;0,444;0,001;0,489;0,412;0,504;0,553
"month";0,942;0,26;0;0,26;0,315;0,777;0,232;0,376;0,281;0,26;0,298;0,354
"money";0,44;0,079;0,364;0,653;0,502;0,488;0,364;0;0,412;0,392;0,428;0,481
"launch";0,38;0,331;0,302;0,331;0,386;0,431;0;0,445;0,792;0,331;0,119;0,576
"house";0,408;0,36;0,331;0,006;0,414;0,458;0,331;0;0,38;0,126;0,397;0,451
"fe0f";0,614;0,153;0,554;0,577;0,619;0,651;0,554;0,661;0,128;0,577;0,605;0,06
"claim";0,309;0,26;0,811;0,06;0,001;0,361;0,232;0;0,281;0,26;0,298;0,354
"bad";0,56;0,281;0,494;0,281;0,565;0,601;0,338;0,612;0,243;0,519;0,551;0,596
"story";0,413;0,537;0,065;0,043;0,48;0,521;0,401;0,534;0,448;0,429;0,464;0,515
"source";0,331;0,975;0,253;0,282;0,85;0,708;0,253;0;0,302;0,282;0,319;0,376
"question";0,408;0,36;0,331;0,36;0,414;0,458;0,331;0,471;0;0,36;0,648;0,451
"public";0,44;0,392;0,364;0,392;0,502;0,488;0,364;0,011;0,594;0,392;0,001;0,481
"past";0,354;0,944;0;0,305;0,772;0,406;0,276;0,42;0,879;0,305;0,343;0,655
"old";0,791;0,944;0,276;0;0,36;0,406;0,276;0,42;0,326;0,305;0,827;0,399
"mark";0,44;0,392;0,364;0,653;0,502;0;0,364;0,501;0,412;0,392;0,548;0,481
"late";0,408;0,36;0;0,36;0,598;0,474;0,331;0,471;0,697;0,36;0,397;0,451
"incident";0,354;0,305;0,276;0,944;0,772;0,634;0;0,42;0,879;0,305;0,343;0,399
"hunter";0,514;0;0,444;0,47;0,52;0,558;0,444;0,57;0,489;0,412;0,504;0,553
"hear";0,38;0,331;0,302;0,331;0,386;0,431;0,302;0,445;0;0,182;0,741;0,424
"give";0,517;0,392;0,364;0,392;0,445;0,015;0,364;0,501;0,412;0,079;0,548;0,404
"answer";0,354;0,305;0,276;0,305;0,772;0,406;0,002;0,42;0;0,305;0,343;0,399
"altitude";0,354;0,305;0,276;0,305;0,36;0;0,965;0,42;0,326;0,305;0,011;0,399
"work";0,44;0,392;0,364;0,392;0,445;0,488;0,364;0,501;0,001;0;0,428;0,481
