"";"";"";"";"propaganda";""
"1";"propaganda";"-0.690132998283835";"-1.66153585089201";"0.842053087845421";"204"
"2";"cool";"-0.690132998283835";"-1.66153585089201";"0.842053087845421";"210"
"3";"confirm";"-0.490857115744982";"-1.24296316728333";"0.841672901452434";"215"
"4";"risk";"-0.628728992801678";"-1.27799114562136";"0.835080022119936";"257"
"5";"incident";"-0.62560007683132";"-1.26468842048317";"0.834834019159768";"258"
"6";"likelihood";"-0.690132998283835";"-1.66153585089201";"0.831282630971163";"269"
"7";"incendiary";"-0.690132998283835";"-1.66153585089201";"0.831282630971163";"270"
"8";"forum";"-0.690132998283835";"-1.66153585089201";"0.831282630971163";"271"
"9";"discord";"-0.690132998283835";"-1.66153585089201";"0.831282630971163";"272"
"10";"california";"-0.690132998283835";"-1.66153585089201";"0.831282630971163";"274"
"11";"technology";"-0.433708704885199";"1.59246230477756";"0.828800237464014";"286"
"12";"compromise";"-0.433708704885199";"1.59246230477756";"0.828800237464014";"297"
"13";"location";"-0.638848139604108";"-1.0107362197581";"0.826698030349853";"301"
"14";"public";"-0.611863748130962";"-1.72341602206013";"0.82615235105639";"308"
"15";"pretty";"-0.623045069581372";"-1.71457599760754";"0.825803474131061";"309"
"16";"intercept";"-0.549248348008663";"-1.77292015899463";"0.82546354276792";"312"
"17";"train";"-0.517277795481217";"1.37596554381468";"0.818114763430542";"336"
"18";"spend";"-0.517277795481217";"1.37596554381468";"0.818114763430542";"337"
"19";"understand";"-0.63143106066918";"-1.7079459792681";"0.817014459281427";"345"
"20";"develop";"-0.63143106066918";"-1.7079459792681";"0.817014459281427";"348"
"21";"restrict";"-0.63143106066918";"-1.7079459792681";"0.817014459281427";"349"
"22";"proven";"-0.63143106066918";"-1.7079459792681";"0.817014459281427";"350"
"23";"hurt";"-0.626026924934176";"-0.848036311974618";"0.817014459281427";"352"
"24";"false";"-0.63143106066918";"-1.7079459792681";"0.817014459281427";"353"
"25";"steal";"-0.45388634983288";"1.86390159863446";"0.815185091813997";"360"
