"";"";"";"";"make";""
"1";"make";"-0.538763308175089";"-0.146490735913359";"0.818147711371955";"213"
"2";"given";"-0.561920851584516";"-0.0345367730572263";"0.813819146141014";"231"
"3";"take";"-0.545558833890292";"-0.0187882052379823";"0.812810939953684";"234"
"4";"don_t";"-0.534032532100311";"0.255379016537467";"0.811856504763011";"239"
"5";"isn_t";"-0.55083444310573";"-0.63245284069969";"0.810095504622473";"246"
"6";"think";"-0.522362968494202";"0.203635523009135";"0.809262054174279";"248"
"7";"and";"-0.168848624720544";"0.0417101589574793";"0.808092534996975";"252"
"8";"try";"-0.523396558917544";"0.190492392423582";"0.80798499300366";"253"
"9";"being";"-0.542716860737489";"-0.377025728053282";"0.807890893759509";"260"
"10";"their";"-0.528877272834531";"-0.173826446383441";"0.806452519598917";"262"
"11";"whole";"-0.488046984752256";"0.299959687836151";"0.804261351485118";"269"
"12";"done";"-0.488046984752256";"0.299959687836151";"0.804261351485118";"270"
"13";"behind";"-0.526388983664748";"-0.638749970170277";"0.80365642777272";"275"
