"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14"
"1";0;0;0;0;0;0;0;0;0;0;0;3;3;3
"2";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"3";0;0;0;0;0;0;0;0;0;0;0;3;3;3
"4";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"5";0;0;0;0;0;0;0;0;0;0;4;4;4;4
"6";0;0;0;0;0;0;0;0;0;0;4;4;4;4
"7";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"8";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"9";0;0;0;0;0;0;0;0;0;0;0;2;2;2
"10";0;0;0;0;0;0;0;0;0;0;4;4;4;4
"11";0;0;0;0;0;0;0;0;0;0;0;2;2;2
"12";0;0;0;0;0;0;0;0;0;0;0;2;2;2
"13";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"14";0;0;0;0;0;0;0;0;0;0;0;2;2;2
"15";0;0;0;0;0;0;0;0;0;0;0;3;3;3
"16";0;0;0;0;0;0;0;0;0;0;0;2;2;2
"17";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"18";0;0;0;0;0;0;0;0;0;0;4;4;4;4
"19";0;0;0;0;0;0;0;0;0;0;4;4;4;4
"20";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"21";0;0;0;0;0;0;0;0;0;0;0;3;3;3
"22";0;0;0;0;0;0;0;0;0;0;0;3;3;3
"23";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"24";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"25";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"26";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"27";0;0;0;0;0;0;0;0;0;0;4;4;4;4
"28";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"29";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"30";0;0;0;0;0;0;0;0;0;0;0;3;3;3
"31";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"32";0;0;0;0;0;0;0;0;0;0;0;3;3;3
"33";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"34";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"35";0;0;0;0;0;0;0;0;0;0;4;4;4;4
"36";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"37";0;0;0;0;0;0;0;0;0;0;4;4;4;4
"38";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"39";0;0;0;0;0;0;0;0;0;0;4;4;4;4
"40";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"41";0;0;0;0;0;0;0;0;0;0;0;3;3;3
"42";0;0;0;0;0;0;0;0;0;0;4;4;4;4
"43";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"44";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"45";0;0;0;0;0;0;0;0;0;0;4;4;4;4
"46";0;0;0;0;0;0;0;0;0;0;4;4;4;4
"47";0;0;0;0;0;0;0;0;0;0;0;2;2;2
"48";0;0;0;0;0;0;0;0;0;0;4;4;4;4
"49";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"50";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"51";0;0;0;0;0;0;0;0;0;0;0;3;3;3
"52";0;0;0;0;0;0;0;0;0;0;4;4;4;4
"53";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"54";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"55";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"56";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"57";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"58";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"59";0;0;0;0;0;0;0;0;0;0;0;0;0;0
