"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5"
"balloon";0,001;0,05;0;0,008;0
"chinese";0;0,019;0;0,087;0
"spy";0;0,207;0;0,004;0
"fly";0,884;0,096;0;0,861;0
"china";0,01;0;0,509;0,004;0,321
"taiwan";0;0,001;0;0,005;0
"down";0,791;0,054;0,042;0,025;0,004
"military";0;0,081;0;0,128;0,072
"biden";0;0,04;0;0,017;0,013
"like";0;0,001;0,043;0,715;0,013
"what";0;0,092;0,663;0,199;0,013
"shoot";0,059;0,03;0,003;0,022;0,038
"https";0;0;0,002;0,202;0,248
"know";0,202;0,382;0,058;0,213;0,014
"trump";0,002;0,49;0;0;0,028
"state";0,226;0,012;0,199;0,369;0,026
"island";0;0,002;0;0,023;0
"base";0;0,016;0,016;0,071;0,323
"time";0,006;0,071;0,01;0,161;0,591
"ministry";0;0,253;0;0,029;0
"country";0;0,581;0,019;0,316;0,169
"thing";0,301;0,161;0,204;0,855;0,053
"detect";0;0,037;0;0,027;0
"person";0,36;0,026;0,947;0,038;0,526
"cross";0,368;0,055;0,006;0,118;0
"allow";0;0,016;0,001;0,247;0,094
"high";0,008;0;0,565;0,065;0,754
"airspace";0,144;0,972;0,672;0,995;0,004
"war";0,002;0,016;0,472;0,247;0,094
"weather";0,014;0,384;0,007;0,077;0,644
"russian";0,672;0,92;0,608;0,427;0,461
"air";0,01;0,331;0;0,108;0,97
"year";0,603;0,06;0,004;0,001;0,014
"satellite";0,069;0,257;0;0,091;0,117
"report";0,022;0,257;0,096;0,317;0
"missile";0,018;0,369;0;0,755;0,25
"joe";0,009;0,631;0,003;0,01;0,126
"unite";0,337;0,199;0,285;0,89;0,094
"need";0,711;0,021;0,306;0,02;0,108
"surveillance";0,144;0;0,193;0,768;0,108
"secret";0,848;0,289;0,379;0,128;0,157
"defense";0,008;0,925;0,003;0,099;0
"day";0,711;0,021;0,002;0,291;0
"news";0,048;0,001;0,182;0,033;0,146
"man";0;0,042;0,224;0,128;0,157
"intelligence";0,01;0;0,147;0,869;0,135
"border";0;0,024;0,009;0,317;0,117
"administration";0,129;0,239;0,011;0;0,198
"national";0,746;0,859;0,379;0,445;0,844
"government";0,479;0,004;0,082;0,445;0,157
"well";0,493;0,028;0,001;0,099;0,126
"official";0,01;0;0,051;0,578;0,467
"nuclear";0,876;0,369;0,028;0,216;0,25
"let";0;0,048;0,007;0,015;0,17
"area";0,018;0,098;0,323;0,014;0
"america";0;0,331;0,003;0,375;0,135
"silo";0,011;0,276;0;0,18;0,214
"russia";0;0,239;0,011;0,165;0,198
"remember";0;0,056;0,009;0,529;0,183
"reason";0,079;0,181;0;0,485;0,17
"0001f923";0;0,132;0,172;0,259;0,295
"world";0,017;0,022;0,224;0;0,157
"montana";0,093;0,114;0,244;0,236;0,271
"information";0,274;0,546;0,001;0,151;0,183
"american";0,372;0,066;0,58;0,139;0,17
"strait";0,004;0,042;0,005;0,128;0
"president";0,876;0,369;0,104;0;0,25
"defence";0,017;0,042;0,082;0,128;0
"tell";0,079;0,181;0,103;0;0,17
"big";0,861;0,239;0,009;0,165;0,198
"track";0,166;0,276;0;0,18;0,214
"ly";0,055;0,62;0,065;0,313;0
