"";"x"
"1";3
"2";0
"3";3
"4";1
"5";4
"6";4
"7";0
"8";1
"9";2
"10";4
"11";2
"12";2
"13";1
"14";2
"15";3
"16";2
"17";0
"18";4
"19";4
"20";1
"21";3
"22";3
"23";0
"24";0
"25";0
"26";1
"27";4
"28";1
"29";1
"30";3
"31";0
"32";3
"33";0
"34";0
"35";4
"36";1
"37";4
"38";1
"39";4
"40";1
"41";3
"42";4
"43";1
"44";0
"45";4
"46";4
"47";2
"48";4
"49";0
"50";0
"51";3
"52";4
"53";1
"54";1
"55";0
"56";0
"57";1
"58";0
"59";0
"60";3
"61";1
"62";0
"63";1
"64";1
"65";3
"66";1
"67";1
"68";0
"69";0
"70";1
"71";0
"72";0
"73";1
"74";0
"75";1
"76";0
"77";0
"78";0
"79";0
"80";4
"81";4
"82";0
"83";0
"84";1
"85";4
"86";1
"87";0
"88";3
"89";1
"90";1
"91";4
"92";4
"93";1
"94";1
"95";4
"96";0
"97";0
"98";1
"99";1
"100";0
"101";0
"102";3
"103";0
"104";0
"105";0
"106";0
"107";0
"108";0
"109";0
"110";3
"111";3
"112";0
"113";1
"114";0
"115";1
"116";1
"117";0
"118";0
"119";0
"120";1
"121";0
"122";3
"123";1
"124";1
"125";1
"126";0
"127";3
"128";1
"129";1
"130";0
"131";1
"132";2
"133";1
"134";1
"135";0
"136";2
"137";0
"138";0
"139";2
"140";0
"141";0
"142";0
"143";0
"144";0
"145";1
"146";1
"147";1
"148";1
"149";4
"150";0
"151";1
"152";1
"153";3
"154";2
"155";1
"156";2
"157";2
"158";0
"159";0
"160";5
"161";0
"162";1
"163";4
"164";1
"165";3
"166";3
"167";0
"168";2
"169";1
"170";0
"171";0
"172";1
"173";1
"174";0
"175";1
"176";2
"177";3
"178";4
"179";3
"180";1
"181";1
"182";1
"183";4
"184";1
"185";1
"186";0
"187";0
"188";0
"189";0
"190";0
"191";0
"192";1
"193";0
"194";4
"195";1
"196";0
"197";1
"198";1
"199";0
"200";3
"201";3
"202";0
"203";1
"204";0
"205";1
"206";1
"207";1
"208";4
"209";0
"210";0
"211";1
"212";1
"213";1
"214";1
"215";0
"216";0
"217";1
"218";2
"219";1
"220";1
"221";2
"222";1
"223";4
"224";1
"225";1
"226";3
"227";1
"228";4
"229";1
"230";1
"231";0
"232";1
"233";4
"234";1
"235";4
"236";4
"237";1
"238";1
"239";1
"240";1
"241";1
"242";1
"243";1
"244";0
"245";0
"246";3
"247";4
"248";4
"249";4
"250";3
"251";3
"252";0
"253";0
"254";1
"255";4
"256";1
"257";0
"258";0
"259";4
"260";0
"261";0
"262";0
"263";0
"264";0
"265";0
"266";0
"267";1
"268";0
"269";0
"270";4
"271";4
"272";3
"273";0
"274";1
"275";4
"276";1
"277";1
"278";0
"279";1
"280";1
"281";0
"282";1
"283";3
"284";3
"285";2
"286";0
"287";1
"288";1
"289";4
"290";1
"291";1
"292";1
"293";1
"294";0
"295";0
"296";0
"297";1
"298";1
"299";1
"300";1
"301";1
"302";3
"303";1
"304";0
"305";0
"306";0
"307";0
"308";3
"309";1
"310";3
"311";0
"312";1
"313";0
"314";1
"315";0
"316";0
"317";0
"318";1
"319";1
"320";0
"321";1
"322";0
"323";1
"324";1
"325";1
"326";0
"327";0
"328";1
"329";0
"330";1
"331";1
"332";0
"333";1
"334";0
"335";1
"336";1
"337";0
"338";0
"339";1
"340";1
"341";1
"342";0
"343";0
"344";4
"345";1
"346";4
"347";1
"348";1
"349";1
"350";0
"351";1
"352";3
"353";0
"354";0
"355";1
"356";0
"357";0
"358";0
"359";0
"360";4
"361";4
"362";2
"363";3
"364";2
"365";0
"366";0
"367";2
"368";2
"369";2
"370";4
"371";1
"372";2
"373";4
"374";2
"375";2
"376";2
"377";2
"378";1
"379";4
"380";2
"381";3
"382";4
"383";4
"384";4
"385";2
"386";2
"387";4
"388";4
"389";1
"390";2
"391";2
"392";2
"393";5
"394";2
"395";5
"396";5
"397";2
"398";5
"399";5
"400";5
"401";1
"402";4
"403";5
"404";5
"405";5
"406";5
"407";2
"408";5
"409";5
"410";5
"411";5
"412";5
"413";5
"414";5
"415";5
"416";5
"417";5
"418";5
"419";5
"420";5
"421";5
"422";1
"423";5
"424";5
"425";5
"426";5
"427";5
"428";5
"429";5
"430";5
"431";5
"432";5
"433";5
"434";5
"435";5
"436";5
"437";5
"438";5
"439";5
"440";5
"441";5
"442";5
"443";5
"444";5
"445";5
"446";5
"447";5
"448";5
"449";5
"450";5
"451";5
"452";5
"453";5
"454";5
"455";5
"456";5
"457";5
"458";5
"459";5
"460";2
"461";3
"462";3
"463";3
"464";0
"465";3
"466";3
"467";2
"468";0
"469";2
"470";3
"471";0
"472";0
"473";2
"474";2
"475";2
"476";2
"477";2
"478";1
"479";2
"480";2
"481";2
"482";1
"483";2
"484";3
"485";3
"486";1
"487";0
"488";2
"489";3
"490";3
"491";2
"492";3
"493";3
"494";3
"495";4
"496";0
"497";3
"498";0
"499";1
"500";2
"501";4
"502";0
"503";3
"504";0
"505";1
"506";0
"507";0
"508";1
"509";0
"510";0
"511";1
"512";3
"513";0
"514";2
"515";0
"516";0
"517";3
"518";3
"519";0
"520";0
"521";1
"522";1
"523";3
"524";3
"525";3
"526";0
"527";1
"528";3
"529";2
"530";3
"531";3
"532";3
"533";1
"534";0
"535";3
"536";0
"537";4
"538";1
"539";3
"540";0
"541";3
"542";3
"543";3
"544";3
"545";2
"546";2
"547";2
"548";3
"549";2
"550";0
"551";1
"552";1
"553";3
"554";3
"555";2
"556";3
"557";0
"558";1
"559";1
"560";4
"561";3
"562";3
"563";3
"564";0
"565";0
"566";0
"567";2
"568";3
"569";0
"570";0
"571";3
"572";3
"573";0
"574";1
"575";0
"576";4
"577";4
"578";0
"579";4
"580";3
"581";3
"582";0
"583";3
"584";2
"585";0
"586";4
"587";3
"588";2
"589";0
"590";3
"591";2
"592";1
"593";3
"594";0
"595";3
"596";2
"597";2
"598";1
"599";2
"600";1
"601";4
"602";0
"603";1
"604";3
"605";2
"606";0
"607";0
"608";2
"609";1
"610";0
"611";0
"612";2
"613";0
"614";3
"615";1
"616";3
"617";4
"618";0
"619";0
"620";3
"621";3
"622";3
"623";1
"624";4
"625";0
"626";3
"627";0
"628";3
"629";1
"630";4
"631";1
"632";0
"633";1
"634";2
"635";0
"636";2
"637";0
"638";3
"639";0
"640";3
"641";3
"642";2
"643";4
"644";0
"645";0
"646";2
"647";0
"648";2
"649";3
"650";3
"651";0
"652";0
"653";1
"654";0
"655";2
"656";0
"657";3
"658";1
"659";0
"660";2
"661";3
"662";3
"663";3
"664";3
"665";3
"666";3
"667";0
"668";2
"669";3
"670";3
"671";0
"672";0
"673";4
"674";0
"675";1
"676";3
"677";3
"678";3
"679";2
"680";3
"681";3
"682";3
"683";1
"684";3
"685";1
"686";0
"687";0
"688";1
"689";3
"690";3
"691";3
"692";3
"693";3
"694";4
"695";3
"696";1
"697";2
"698";2
"699";2
"700";1
"701";2
"702";0
"703";3
"704";3
"705";2
"706";1
"707";3
"708";1
"709";2
"710";2
"711";2
"712";4
"713";2
"714";3
"715";1
"716";1
"717";2
"718";3
"719";3
"720";4
"721";3
"722";3
"723";3
"724";1
"725";0
"726";0
"727";1
"728";0
"729";3
"730";0
"731";0
"732";3
"733";3
"734";1
"735";0
"736";1
"737";3
"738";1
"739";3
"740";3
"741";2
"742";2
"743";3
"744";3
"745";3
"746";3
"747";1
"748";3
"749";3
"750";1
"751";3
"752";2
"753";0
"754";0
"755";3
"756";3
"757";0
"758";3
"759";1
"760";3
"761";3
"762";3
"763";1
"764";1
"765";1
"766";3
"767";3
"768";4
"769";3
"770";3
"771";2
"772";3
"773";2
"774";3
"775";0
"776";0
"777";3
"778";1
"779";3
"780";0
"781";2
"782";1
"783";3
"784";4
"785";1
"786";3
"787";3
"788";3
"789";1
"790";3
"791";3
"792";2
"793";3
"794";3
"795";2
"796";3
"797";0
"798";1
"799";2
"800";0
"801";3
"802";2
"803";2
"804";3
"805";2
"806";2
"807";2
"808";0
"809";1
"810";3
"811";3
"812";2
"813";3
"814";1
"815";0
"816";0
"817";1
"818";3
"819";3
"820";0
"821";3
"822";3
"823";1
"824";3
"825";3
"826";3
"827";3
"828";2
"829";3
"830";2
"831";2
"832";2
"833";2
"834";2
"835";2
"836";2
"837";0
"838";5
"839";2
"840";2
"841";3
"842";1
"843";3
"844";3
"845";3
"846";3
"847";3
"848";3
"849";3
"850";3
"851";3
"852";3
"853";1
"854";1
"855";2
"856";2
"857";2
"858";2
"859";2
"860";3
"861";2
