"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Coord. facteur 7";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"Corr. facteur 7";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"COR -facteur 7";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"CTR -facteur 7";"mass";"chi.distance";"inertie"
"balloon";-0,184512324851651;0,0776012898457423;-0,180409344360749;0,245086020979967;0,398900038552867;-0,136809732326469;-0,920908460467873;-0,171419459485356;0,0720947566587694;-0,167607623616967;0,227694888553276;0,370594371147821;-0,127101809521911;-0,855561440981332;0,100391121349108;0,0128202119170016;0,0606597060989414;0,0924791137568098;0,178209082534163;0,017865381679619;0,537575382664357;0,00384958846893693;0,000680928360223084;0,00368028625104454;0,00679204609806844;0,0179925077888315;0,00211639890987875;0,0958951115263669;0,113074204946996;0,452294732567786;0,0231316494822405
"chinese";-0,210765684630692;0,0160596718366035;-0,102996030378839;0,383739123631639;0,27465443485878;-0,197932443045773;-0,58827430310563;-0,258803491099959;0,0197199992233813;-0,126470930399262;0,471201111516447;0,337253793055018;-0,243045291513884;-0,722354038015741;0,182117977687399;0,000763377097442832;0,0274872749987028;0,315200722736202;0,11745821008476;0,0519901118252763;0,304982325570218;0,00439512673816128;2,55178998797988e-05;0,00104957280447479;0,0145694700358876;0,00746353936555719;0,00387619454516575;0,0342398104573979;0,0989399293286219;0,383590016621998;0,0145581499076248
"taiwan";0,90824577836922;0,288260835867768;0,151891203581237;-0,00829111985178858;-0,227569714454026;-0,305521269554014;-0,222992827537629;0,855921472148844;0,271654044395124;0,143140706702919;-0,00781346600041172;-0,214459356322821;-0,287920099423957;-0,2101461452068;0,859199812153816;0,0624843795612837;0,0151876418305145;3,73831434902155e-05;0,0204867685634474;0,031470530727755;0,0111334840196965;0,0437231657557691;0,00440429202271295;0,00122284122219206;3,64360433198177e-06;0,00274494566802228;0,00494752188073656;0,00263564316960566;0,0530035335689046;0,761027066038757;0,0306976428574324
"fly";-0,127672913879259;-0,306311125563601;1,12756721167315;-0,578613280876808;0,175692730667541;-0,439240332035279;0,206729888998472;-0,0906676097465679;-0,217528501150191;0,800747948838154;-0,410905348289715;0,124769142141913;-0,311928895486714;0,146810347858049;0,0142265965250417;0,0591210035422306;0,701335872880362;0,15256057027094;0,0102321805355424;0,0545056678965474;0,00801810834933703;0,000633583400433311;0,00364696665047506;0,0494186783930883;0,0130131682575168;0,00119981375160279;0,00749912636802504;0,00166116507794532;0,03886925795053;0,831365627102872;0,0268652186049812
"island";0,903789520350771;-0,209359140131205;0,723561668896839;0,166628914683742;-0,226099047884511;-0,0119813015581957;0,218236007270656;0,735282977409262;-0,170325289724283;0,588657609173426;0,135561877796043;-0,183944134529686;-0,00974745434039694;0,177547114223673;0,667583501617906;0,0258623286001856;0,270433069954802;0,011847692060818;0,0158681243133881;3,79763096755449e-05;0,00836730714322455;0,0274202728707097;0,00147136703458141;0,0175747142848742;0,000932047188984012;0,0017160685682533;4,8188695292227e-06;0,00159878470409774;0,0335689045936396;0,85912885432058;0,0247772886540594
"ministry";0,853221492349271;0,097705035355552;1,13830528025678;0,32791556609136;-0,277860890455371;-0,401327009932445;0,257207669052855;0,545635018886672;0,0624823557418386;0,727946059330462;0,209701956293724;-0,177691998585311;-0,256648563834561;0,164484266535567;0,426810096156044;0,00404071094708248;0,48013825939825;0,0329152539959343;0,01719186893643;0,0305662146764977;0,00833759588976188;0,0205791354065503;0,000269859333818507;0,0366286617967624;0,00303967826106055;0,00218252083235765;0,0045530280961503;0,001870128198434;0,0282685512367491;1,01435096384648;0,0290857350630753
"detect";0,546081631781379;-0,277418506327559;1,71343896993356;0,659113088516248;-0,316928424587315;0,748166256986023;0,16226125399455;0,259392828946084;-0,131775849928444;0,813896230473221;0,313083609986843;-0,150543354404642;0,355384526098292;0,0770753001976741;0,112058975845065;0,0208792623239868;0,6972788526743;0,0852341073452256;0,0143354400786282;0,0680865792663665;0,00212678246642927;0,00684923486112576;0,0017676561121717;0,0674317143956372;0,00997807566235787;0,00230700908489075;0,0128565118819827;0,000604723125658113;0,0229681978798587;1,26700417456384;0,0368708383722768
"https";-1,01369696263958;0,0090172182543325;0,531034208315611;1,33459794414557;-1,18252656703782;0,819702937935842;0,60314511994732;-0,431267572378623;0,00383628832824753;0,225923369913169;0,567791792504173;-0,503094495332875;0,348734690093875;0,256602260101848;0,346848339713755;1,981441586007e-05;0,0601597508027484;0,313896350520642;0,179267795179001;0,0734125115600282;0,0263954378079634;0,0108930904459156;8,61945848547003e-07;0,00298937099365428;0,0188814664931193;0,0148237005132535;0,00712275165859348;0,00385636786978375;0,0106007067137809;1,33684832681569;0,0189451955714831
"strait";1,04610629897508;-0,929335130832924;-0,029201673588638;-0,0351931266232172;-0,659587332660673;-3,37812030605693;0,332971898642739;0,280408924682571;-0,2491083984122;-0,0078275122690151;-0,00943352200660916;-0,176802467270136;-0,905505571850442;0,0892531592051416;0,195347373438367;0,111304681789382;9,62075440831251e-05;0,000115433982720565;0,029495630858468;0,659386324397155;0,00425434798982507;0,0174011404572404;0,0137331697325128;1,3559434034269e-05;1,96943559251947e-05;0,00691784283508444;0,181458076359978;0,00176295506638119;0,0159010600706714;1,83829764410832;0,0537350601678585
"report";1,08415468243601;-1,20345319672344;-0,465067380726999;-0,231850126051024;-0,447643394497766;-1,75239384721651;0,236615413618831;0,434671875303076;-0,482502419935019;-0,186460210704136;-0,0929560428161514;-0,179474383965374;-0,702590075179727;0,0948665972019915;0,338930983281765;0,301508779427409;0,0394183311194385;0,00809292430627781;0,0219457418919152;0,286632862307774;0,00347037766542104;0,0228432952825569;0,0281471653069654;0,0042034705914823;0,00104469839301878;0,00389440052122316;0,0596814949706448;0,00108808373424402;0,019434628975265;1,44637003466952;0,0406569771185317
