"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8"
"balloon";0,123;0,143;0,143;0,123;0,163;0,143;-4,986;0,123
"chinese";-1,426;1,466;1,466;1,261;1,679;-0,951;-2,001;-1,426
"taiwan";-3,206;10,643;6,275;-6,724;-8,954;-7,82;1,628;9,152
"fly";-4,014;3,345;11,729;-4,014;-0,63;6,901;-1,451;-4,014
"island";-3,24;4,881;14,973;-3,24;-4,315;-3,768;1,685;-0,002
"ministry";-2,562;7,056;19,441;-2,562;-3,411;-2,979;-0,295;0,066
"detect";-1,961;0,143;36,491;-1,961;-0,516;-2,281;-0,027;-1,961
"https";-0,798;-0,928;2,708;0,239;7,243;-0,928;-1,347;-0,798
"strait";-1,261;41,487;-1,466;-1,261;-1,679;-1,466;0,209;-1,261
"report";-1,598;21,886;-1,858;-1,598;-2,128;-1,858;7,667;-1,598
"defense";-1,101;0;33,221;-1,101;-1,466;-1,28;-1,858;0,028
"defence";-1,261;9,996;0,951;-1,261;-1,679;-1,466;0,209;0,001
"cross";-0,947;14,611;-1,101;0,101;-1,261;-1,101;0,757;-0,947
"day";-1,961;0,143;10,299;-0,16;-2,612;-2,281;0,438;0,36
"administration";-1,261;-1,466;-1,466;-1,261;8,199;18,103;-2,128;-1,261
"trump";-1,961;-2,281;-2,281;-1,961;30,985;10,299;-3,31;-1,961
"directly";-0,947;-1,101;55,894;-0,947;-1,261;-1,101;-1,598;-0,947
"year";-0,38;-0,441;-0,441;1,666;7,356;-0,441;-0,641;-0,38
"taipei";-0,38;-0,441;22,409;-0,38;-0,505;-0,441;-0,641;-0,38
"shoot";-1,426;-1,659;-1,659;43,147;-1,899;0,648;-0,403;-1,426
"election";-1,598;-1,858;-1,858;-1,598;-2,128;-1,858;29,328;3,753
"time";-0,947;6,783;-1,101;-0,947;1,426;0,028;-0,039;-0,947
"saturday";-0,514;-0,598;-0,598;6,826;-0,685;-0,598;-0,868;6,826
"month";-0,798;2,708;-0,928;-0,798;-1,062;-0,928;11,634;-0,798
"military";-1,101;-1,28;0;0,028;4,279;1,362;-0,127;-1,101
"surveillance";-0,654;-0,76;0,297;0,48;9,673;-0,76;-1,103;-0,654
"spot";0,028;-1,28;-1,28;1,923;0,951;-1,28;-0,127;1,923
"spate";-0,514;5,611;-0,598;-0,514;-0,685;-0,598;-0,868;6,826
"official";-0,38;-0,441;-0,441;10,227;1,001;-0,441;-0,641;-0,38
"airspace";1,666;-0,441;-0,441;-0,38;7,356;-0,441;-0,641;-0,38
"state";-0,654;-0,76;-0,76;0,48;19,872;-0,76;-1,103;-0,654
"china";0,028;-1,28;1,362;-1,101;-1,466;1,362;-0,127;1,923
"biden";-1,101;-1,28;-1,28;-1,101;4,279;21,294;-1,858;-1,101
"activity";-0,654;3,849;-0,76;-0,654;-0,871;-0,76;7,149;-0,654
"presidential";-0,947;-1,101;-1,101;-0,947;-1,261;-1,101;38,511;-0,947
"january";-0,654;-0,76;-0,76;-0,654;-0,871;-0,76;26,591;-0,654
"sunday";-0,38;-0,441;8,611;-0,38;-0,505;1,288;-0,641;-0,38
"start";-0,38;8,611;-0,441;-0,38;-0,505;-0,441;0,602;-0,38
"spy";-0,654;-0,76;-0,76;0,48;9,673;0,297;-1,103;-0,654
"sighting";-0,654;-0,76;-0,76;-0,654;-0,871;-0,76;26,591;-0,654
"safety";-0,798;-0,928;-0,928;-0,798;-1,062;-0,928;-1,347;54,77
"intelligence";-0,38;-0,441;1,288;-0,38;-0,505;8,611;-0,641;-0,38
"high";-0,38;-0,441;-0,441;-0,38;-0,505;-0,441;15,44;-0,38
"continental";-0,798;-0,928;-0,928;10,587;7,243;-0,928;-1,347;-0,798
"unite";-0,654;-0,76;-0,76;0,48;19,872;-0,76;-1,103;-0,654
"threat";-0,514;-0,598;-0,598;-0,514;-0,685;5,611;-0,868;6,826
"taiwanese";-0,514;5,611;-0,598;-0,514;-0,685;-0,598;-0,868;6,826
"straight";-0,654;-0,76;38,594;-0,654;-0,871;-0,76;-1,103;-0,654
"row";-0,514;5,611;-0,598;-0,514;-0,685;-0,598;3,317;-0,514
"aware";-0,654;-0,76;-0,76;-0,654;-0,871;38,594;-1,103;-0,654
