"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"8";"***";"";""
"**";"classe";"1";"**";"";""
"****";"7";"65";"10.77";"****";""
"2";"3";"66.67";"10.23";"important";"0.001384365"
"*****";"*";"*";"*";"*";"*"
"2";"4";"50";"6.83";"now";"0.008981529"
"*";"*";"*";"*";"*";"*"
"2";"2";"100.00";"17.10";"*id_10159747517141408";"3.550891e-05"
"2";"2";"100.00";"17.10";"*id_10160886137242444";"3.550891e-05"
"4";"9";" 44.44";"12.33";"*phase_Fin";"4.462372e-04"
"**";"classe";"2";"**";"";""
"****";"8";"65";"12.31";"****";""
"7";" 9";"77.78";"41.49";"strait";"1.186371e-10"
"6";"11";"54.55";"21.89";"report";"2.892645e-06"
"4";" 7";"57.14";"14.61";"cross";"1.321342e-04"
"8";"30";"26.67";"10.64";"taiwan";"1.104719e-03"
"4";" 9";"44.44";"10.00";"defence";"1.568660e-03"
"2";" 3";"66.67";" 8.61";"start";"3.341617e-03"
"5";"16";"31.25";" 7.06";"ministry";"7.899566e-03"
"3";" 7";"42.86";" 6.78";"time";"9.200572e-03"
"2";" 4";"50.00";" 5.61";"spate";"1.785195e-02"
"2";" 4";"50.00";" 5.61";"taiwanese";"1.785195e-02"
"2";" 4";"50.00";" 5.61";"row";"1.785195e-02"
"5";"19";"26.32";" 4.88";"island";"2.715026e-02"
"2";" 5";"40.00";" 3.85";"activity";"4.978503e-02"
"5";"22";"22.73";" 3.35";"fly";"6.739882e-02"
"2";" 6";"33.33";" 2.71";"month";"9.987565e-02"
"*****";"*";"*";"*";"*";"*"
"4";" 8";"50.00";"12.01";"such";"0.0005295292"
"5";"12";"41.67";"11.75";"across";"0.0006073321"
"6";"17";"35.29";"11.27";"said";"0.0007876767"
"2";" 3";"66.67";" 8.61";"last";"0.0033416167"
"2";" 3";"66.67";" 8.61";"them";"0.0033416167"
"5";"16";"31.25";" 7.06";"has";"0.0078995661"
"5";"17";"29.41";" 6.24";"in";"0.0124899137"
"4";"12";"33.33";" 6.03";"three";"0.0140800309"
"2";" 4";"50.00";" 5.61";"first";"0.0178519477"
"3";" 8";"37.50";" 5.36";"second";"0.0205511137"
"6";"26";"23.08";" 4.66";"a";"0.0309374033"
"3";" 9";"33.33";" 4.28";"more";"0.0385891942"
"2";" 5";"40.00";" 3.85";"since";"0.0497850325"
"4";"15";"26.67";" 3.73";"it";"0.0535989355"
"2";" 6";"33.33";" 2.71";"those";"0.0998756494"
"4";"17";"23.53";" 2.69";"on";"0.1012353395"
"*";"*";"*";"*";"*";"*"
"2";" 2";"100.00";"14.70";"*id_866680028656064";"0.0001258874"
"8";"35";" 22.86";" 7.82";"*phase_Après";"0.0051684095"
"8";"35";" 22.86";" 7.82";"débunkage";"0.0051684095"
"**";"classe";"3";"**";"";""
"****";"8";"65";"12.31";"****";""
"7";" 7";"100.00";"55.89";"directly";"7.647021e-14"
"5";" 5";"100.00";"38.59";"straight";"5.218577e-10"
"8";"13";" 61.54";"36.49";"detect";"1.533548e-09"
"6";" 8";" 75.00";"33.22";"defense";"8.223742e-09"
"3";" 3";"100.00";"22.41";"taipei";"2.203076e-06"
"7";"16";" 43.75";"19.44";"ministry";"1.037328e-05"
"7";"19";" 36.84";"14.97";"island";"1.090336e-04"
"7";"22";" 31.82";"11.73";"fly";"6.152936e-04"
"5";"13";" 38.46";"10.30";"day";"1.331172e-03"
"2";" 3";" 66.67";" 8.61";"sunday";"3.341617e-03"
"2";" 3";" 66.67";" 8.61";"line";"3.341617e-03"
"7";"30";" 23.33";" 6.28";"taiwan";"1.224308e-02"
"2";" 6";" 33.33";" 2.71";"https";"9.987565e-02"
"*****";"*";"*";"*";"*";"*"
"5";" 6";" 83.33";"30.90";"around";"2.722070e-08"
"7";"12";" 58.33";"28.89";"with";"7.678451e-08"
"7";"12";" 58.33";"28.89";"were";"7.678451e-08"
"3";" 3";"100.00";"22.41";"five";"2.203076e-06"
"3";" 4";" 75.00";"15.52";"eight";"8.157186e-05"
"3";" 4";" 75.00";"15.52";"from";"8.157186e-05"
"5";"12";" 41.67";"11.75";"for";"6.073321e-04"
"6";"17";" 35.29";"11.27";"said";"7.876767e-04"
"2";" 3";" 66.67";" 8.61";"two";"3.341617e-03"
"2";" 3";" 66.67";" 8.61";"8";"3.341617e-03"
"8";"35";" 22.86";" 7.82";"s";"5.168410e-03"
"2";" 4";" 50.00";" 5.61";"above";"1.785195e-02"
"2";" 4";" 50.00";" 5.61";"its";"1.785195e-02"
"3";" 8";" 37.50";" 5.36";"second";"2.055111e-02"
"8";"49";" 16.33";" 2.98";"the";"8.435785e-02"
"*";"*";"*";"*";"*";"*"
"2";" 2";"100";"14.70";"*id_771143475196610";"0.0001258874"
"2";" 2";"100";"14.70";"*id_811595517678757";"0.0001258874"
"2";" 2";"100";"14.70";"*id_787930600044362";"0.0001258874"
"7";"35";" 20";" 4.16";"*phase_Après";"0.0414498259"
"7";"35";" 20";" 4.16";"débunkage";"0.0414498259"
"**";"classe";"4";"**";"";""
"****";"7";"65";"10.77";"****";""
"7";"10";"70.00";"43.15";"shoot";"5.078933e-11"
"3";" 6";"50.00";"10.59";"continental";"1.138946e-03"
"2";" 3";"66.67";"10.23";"official";"1.384365e-03"
"2";" 3";"66.67";"10.23";"drift";"1.384365e-03"
"2";" 4";"50.00";" 6.83";"saturday";"8.981529e-03"
"*****";"*";"*";"*";"*";"*"
"7";"10";" 70.00";"43.15";"down";"5.078933e-11"
"3";" 3";"100.00";"26.06";"off";"3.309860e-07"
"5";"10";" 50.00";"18.93";"was";"1.357448e-05"
"6";"18";" 33.33";"13.19";"u";"2.815381e-04"
"5";"16";" 31.25";" 9.26";"has";"2.336152e-03"
"5";"17";" 29.41";" 8.33";"that";"3.908360e-03"
"6";"26";" 23.08";" 6.83";"a";"8.959560e-03"
"2";" 4";" 50.00";" 6.83";"above";"8.981529e-03"
"6";"35";" 17.14";" 3.21";"s";"7.337841e-02"
"3";"12";" 25.00";" 3.10";"across";"7.821869e-02"
"2";" 7";" 28.57";" 2.59";"says";"1.077301e-01"
"7";"49";" 14.29";" 2.56";"the";"1.094894e-01"
"*";"*";"*";"*";"*";"*"
"2";"2";"100.00";"17.10";"*id_6148531251881822";"3.550891e-05"
"4";"9";" 44.44";"12.33";"*phase_Fin";"4.462372e-04"
"**";"classe";"5";"**";"";""
"****";"9";"65";"13.85";"****";""
"8";"13";" 61.54";"30.98";"trump";"2.600808e-08"
"4";" 5";" 80.00";"19.87";"state";"8.281041e-06"
"4";" 5";" 80.00";"19.87";"unite";"8.281041e-06"
"3";" 3";"100.00";"19.57";"president";"9.698559e-06"
"3";" 3";"100.00";"19.57";"occasion";"9.698559e-06"
"3";" 5";" 60.00";" 9.67";"surveillance";"1.870345e-03"
"3";" 5";" 60.00";" 9.67";"spy";"1.870345e-03"
"4";" 9";" 44.44";" 8.20";"administration";"4.191459e-03"
"2";" 3";" 66.67";" 7.36";"year";"6.683768e-03"
"2";" 3";" 66.67";" 7.36";"airspace";"6.683768e-03"
"2";" 3";" 66.67";" 7.36";"happen";"6.683768e-03"
"3";" 6";" 50.00";" 7.24";"https";"7.117842e-03"
"3";" 6";" 50.00";" 7.24";"continental";"7.117842e-03"
"2";" 4";" 50.00";" 4.67";"claim";"3.068781e-02"
"3";" 8";" 37.50";" 4.28";"military";"3.858919e-02"
"3";" 8";" 37.50";" 4.28";"biden";"3.858919e-02"
"*****";"*";"*";"*";"*";"*"
"3";" 3";"100.00";"19.57";"under";"9.698559e-06"
"6";"12";" 50.00";"16.13";"three";"5.926798e-05"
"4";" 8";" 50.00";"10.00";"least";"1.568660e-03"
"4";" 9";" 44.44";" 8.20";"at";"4.191459e-03"
"4";" 9";" 44.44";" 8.20";"during";"4.191459e-03"
