"";"x"
"1";1
"2";1
"3";5
"4";5
"5";5
"6";0
"7";0
"8";1
"9";1
"10";0
"11";6
"12";0
"13";6
"14";4
"15";3
"16";5
"17";4
"18";0
"19";0
"20";0
"21";6
"22";5
"23";4
"24";4
"25";6
"26";6
"27";6
"28";4
"29";4
"30";5
"31";5
"32";5
"33";6
"34";0
"35";5
"36";0
"37";4
"38";7
"39";7
"40";1
"41";7
"42";7
"43";2
"44";7
"45";6
"46";2
"47";7
"48";7
"49";7
"50";1
"51";8
"52";7
"53";8
"54";8
"55";0
"56";0
"57";0
"58";3
"59";3
"60";2
"61";0
"62";8
"63";0
"64";0
"65";0
"66";0
"67";0
"68";0
"69";8
"70";0
"71";0
"72";2
"73";8
"74";0
"75";0
"76";3
"77";3
"78";7
"79";7
"80";1
"81";2
"82";0
"83";0
"84";0
"85";0
"86";0
"87";3
"88";0
"89";0
"90";3
"91";0
"92";0
"93";3
"94";2
"95";2
"96";2
"97";8
"98";0
"99";0
"100";0
"101";0
"102";0
"103";0
