"";"banalfreq";"X.phase_Après";"X.phase_Début";"X.phase_Fin";"X.phase_Pic";"X.phase_Unknown"
"chinese";90;-0,7875;0,5689;1,0615;0,286;-0,0227
"month";10;1,5768;-0,0148;-0,3119;-1,1418;-0,0025
"to";11;-0,6618;-0,0163;-0,3432;1,0693;-0,0027
"fly";50;1,4712;-0,075;-0,8945;-0,8231;-0,0125
"says";15;0,2988;-0,0223;1,0991;-0,9718;-0,0037
"taipei";11;0,9689;-0,0163;0,2626;-1,2564;-0,0027
"https";22;0,3201;-0,0327;0,3408;-0,3957;-0,0054
"more";15;-0,5396;-0,0223;0,5558;0,3302;-0,0037
"six";12;1,8934;-0,0178;-0,3745;-1,371;-0,003
"such";12;1,8934;-0,0178;-0,3745;-1,371;-0,003
"over";55;-0,3985;-0,0826;0,2715;0,414;-0,0137
"ly";16;1,0312;-0,0238;-0,1577;-1,0634;-0,004
"day";14;1,3549;-0,0208;0,1975;-1,6006;-0,0035
"year";11;-0,6618;-0,0163;0,2626;0,6302;-0,0027
"saturday";10;0,4289;-0,0148;-0,3119;-0,2333;-0,0025
"one";18;0,4958;-0,0267;-0,5627;-0,2244;-0,0045
"were";21;0,4586;-0,0312;-0,6571;0,2578;-0,0052
"and";42;-1,2484;-0,0628;1,649;0,4313;-0,0105
"have";12;-0,5442;-0,0178;0,2382;0,535;-0,003
"buff";12;1,8934;-0,0178;-0,3745;-1,371;-0,003
"said";39;1,602;-0,0583;-1,2269;-0,7711;-0,0097
"eight";12;1,8934;-0,0178;-0,3745;-1,371;-0,003
"report";17;1,757;1,248;-0,5313;-1,9455;-0,0042
"defense";17;1,757;-0,0253;-0,5313;-1,1562;-0,0042
"across";16;0,6293;-0,0238;-0,4999;-0,3216;-0,004
"three";12;-0,9101;-0,0178;-0,3745;1,4284;-0,003
"is";10;-1,3043;-0,0148;0,829;0,7445;-0,0025
"it";38;0,6252;-0,0568;-0,2971;-0,4933;-0,0095
"around";12;1,8934;-0,0178;-0,3745;-1,371;-0,003
"cross";16;1,6215;-0,0238;-0,1577;-1,8304;-0,004
"just";11;0,5191;-0,0163;0,2626;-0,6208;-0,0027
"had";16;0,6293;-0,0238;-0,1577;-0,6042;-0,004
"has";22;-0,2828;-0,0327;0,3408;-0,22;-0,0054
"which";11;1,7351;-0,0163;-0,3432;-1,2564;-0,0027
"election";11;1,7351;-0,0163;-0,3432;-1,2564;-0,0027
"for";16;-1,1063;-0,0238;-0,4999;1,7851;-0,004
"of";68;0,3094;0,6772;1,035;-0,9707;-0,0171
"on";26;0,8209;-0,0387;-0,8148;-0,3726;-0,0064
"with";22;0,3201;-0,0327;0,3408;-0,6641;1,9043
"time";10;-0,8068;-0,0148;-0,3119;1,2444;-0,0025
