"";"*phase_Après";"*phase_Début";"*phase_Fin";"*phase_Pic";"*phase_Unknown"
"chinese";58;1;10;21;0
"month";10;0;0;0;0
"to";6;0;0;5;0
"fly";41;0;1;8;0
"says";11;0;3;1;0
"defence";16;0;0;0;0
"military";1;0;1;8;0
"taipei";10;0;1;0;0
"two";14;0;0;0;0
"https";16;0;2;4;0
"more";9;0;2;4;0
"shoot";1;0;4;6;0
"trump";0;0;1;12;0
"six";12;0;0;0;0
"such";12;0;0;0;0
"a";34;0;12;9;0
"over";37;0;4;14;0
"ly";14;0;1;1;0
"day";13;0;1;0;0
"directly";13;0;0;0;0
"year";6;0;1;4;0
"saturday";8;0;0;2;0
"ministry";37;0;0;0;0
"one";14;0;0;4;0
"least";0;0;0;10;0
"that";7;0;4;13;0
"were";16;0;0;5;0
"and";24;0;7;11;0
"have";7;0;1;4;0
"buff";12;0;0;0;0
"said";33;0;0;6;0
"eight";12;0;0;0;0
"report";16;1;0;0;0
"during";0;0;1;12;0
"defense";16;0;0;1;0
"detect";34;0;0;2;0
"across";13;0;0;3;0
"s";34;0;5;23;0
"three";6;0;0;6;0
"is";4;0;2;4;0
"strait";18;0;0;0;0
"it";29;0;2;7;0
"in";36;1;4;3;0
"around";12;0;0;0;0
"balloon";66;1;12;35;0
"administration";0;0;2;12;0
"cross";15;0;1;0;0
"the";123;1;13;59;0
"just";9;0;1;1;0
"taiwan";79;0;0;0;0
"had";13;0;1;2;0
"has";15;0;2;5;0
"which";11;0;0;0;0
"election";11;0;0;0;0
"for";8;0;0;8;0
"of";48;1;8;11;0
"on";21;0;0;5;0
"island";43;0;0;0;0
"down";0;0;4;7;0
"was";1;0;3;10;0
"with";16;0;2;3;1
"at";5;0;0;12;0
"u";18;0;3;19;0
"time";5;0;0;5;0
