"";"X.phase_Après";"X.phase_Début";"X.phase_Fin";"X.phase_Pic";"X.phase_Unknown"
"chinese";-0,7875;0,5689;1,0615;0,286;-0,0227
"month";1,5768;-0,0148;-0,3119;-1,1418;-0,0025
"to";-0,6618;-0,0163;-0,3432;1,0693;-0,0027
"fly";1,4712;-0,075;-0,8945;-0,8231;-0,0125
"says";0,2988;-0,0223;1,0991;-0,9718;-0,0037
"defence";2,5281;-0,0238;-0,4999;-1,8304;-0,004
"military";-3,8154;-0,0148;0,2904;3,6627;-0,0025
"taipei";0,9689;-0,0163;0,2626;-1,2564;-0,0027
"two";2,2105;-0,0208;-0,4372;-1,6006;-0,0035
"https";0,3201;-0,0327;0,3408;-0,3957;-0,0054
"more";-0,5396;-0,0223;0,5558;0,3302;-0,0037
"shoot";-4,2981;-0,0163;2,3096;1,6377;-0,0027
"trump";-6,773;-0,0193;0,2167;6,688;-0,0032
"six";1,8934;-0,0178;-0,3745;-1,371;-0,003
"such";1,8934;-0,0178;-0,3745;-1,371;-0,003
"a";-0,8868;-0,0826;3,6258;-0,8252;-0,0137
"over";-0,3985;-0,0826;0,2715;0,414;-0,0137
"ly";1,0312;-0,0238;-0,1577;-1,0634;-0,004
"day";1,3549;-0,0208;0,1975;-1,6006;-0,0035
"directly";2,0519;-0,0193;-0,4058;-1,4858;-0,0032
"year";-0,6618;-0,0163;0,2626;0,6302;-0,0027
"saturday";0,4289;-0,0148;-0,3119;-0,2333;-0,0025
"ministry";5,8888;-0,0553;-1,1633;-4,2622;-0,0092
"one";0,4958;-0,0267;-0,5627;-0,2244;-0,0045
"least";-5,2014;-0,0148;-0,3119;6,4088;-0,0025
"that";-4,3352;-0,0357;1,104;3,0634;-0,0059
"were";0,4586;-0,0312;-0,6571;0,2578;-0,0052
"and";-1,2484;-0,0628;1,649;0,4313;-0,0105
"have";-0,5442;-0,0178;0,2382;0,535;-0,003
"buff";1,8934;-0,0178;-0,3745;-1,371;-0,003
"said";1,602;-0,0583;-1,2269;-0,7711;-0,0097
"eight";1,8934;-0,0178;-0,3745;-1,371;-0,003
"report";1,757;1,248;-0,5313;-1,9455;-0,0042
"during";-6,773;-0,0193;0,2167;6,688;-0,0032
"defense";1,757;-0,0253;-0,5313;-1,1562;-0,0042
"detect";3,57;-0,0538;-1,1315;-2,2913;-0,0089
"across";0,6293;-0,0238;-0,4999;-0,3216;-0,004
"s";-2,0562;-0,0933;0,3671;2,1027;-0,0155
"three";-0,9101;-0,0178;-0,3745;1,4284;-0,003
"is";-1,3043;-0,0148;0,829;0,7445;-0,0025
"strait";2,846;-0,0267;-0,5627;-2,0606;-0,0045
"it";0,6252;-0,0568;-0,2971;-0,4933;-0,0095
"in";1,3126;0,8516;0,4411;-2,3867;-0,011
"around";1,8934;-0,0178;-0,3745;-1,371;-0,003
"balloon";-2,3976;0,4808;1,0527;1,4918;-0,029
"administration";-7,298;-0,0208;0,5993;5,944;-0,0035
"cross";1,6215;-0,0238;-0,1577;-1,8304;-0,004
"the";-1,761;0,295;-0,2943;2,0179;-0,0511
"just";0,5191;-0,0163;0,2626;-0,6208;-0,0027
"taiwan";12,7613;-0,1195;-2,5156;-9,229;-0,0199
"had";0,6293;-0,0238;-0,1577;-0,6042;-0,004
"has";-0,2828;-0,0327;0,3408;-0,22;-0,0054
"which";1,7351;-0,0163;-0,3432;-1,2564;-0,0027
"election";1,7351;-0,0163;-0,3432;-1,2564;-0,0027
"for";-1,1063;-0,0238;-0,4999;1,7851;-0,004
"of";0,3094;0,6772;1,035;-0,9707;-0,0171
"on";0,8209;-0,0387;-0,8148;-0,3726;-0,0064
"island";6,8581;-0,0644;-1,3544;-4,9632;-0,0107
"down";-5,7247;-0,0163;2,3096;2,3422;-0,0027
"was";-5,7678;-0,0208;1,1742;3,8072;-0,0035
"with";0,3201;-0,0327;0,3408;-0,6641;1,9043
"at";-3,155;-0,0253;-0,5313;4,4142;-0,0042
"u";-3,0461;-0,0598;0,2751;3,2871;-0,01
"time";-0,8068;-0,0148;-0,3119;1,2444;-0,0025
