chinese	90
month	10
row	5
hkfp	4
fly	50
uptick	3
spate	9
wednesday	3
past	6
defence	16
china	8
unidentified	3
ahead	3
military	10
taipei	11
airspace	9
claim	4
psychological	4
call	3
https	22
shoot	11
hour	5
learn	3
spy	6
trump	13
high	6
biden	8
parliamentary	4
sunday	6
tension	3
spot	9
late	5
holiday	3
ly	16
half	4
day	14
presidential	7
january	7
directly	13
year	11
navy	6
happen	3
saturday	10
safety	6
u2s	3
base	4
ministry	37
american	3
threat	5
president	3
payload	4
story	4
bite	4
warfare	4
equipment	6
buff	12
begin	3
multiple	3
object	3
occasion	3
senior	5
show	3
inconsistent	3
7news	6
coast	3
report	17
onboard	3
activity	8
intelligence	6
taiwanese	5
defense	17
detect	36
state	8
approach	3
news	4
threaten	4
aviation	5
straight	5
air	4
strait	18
balloon	114
administration	14
cross	16
unite	5
surveillance	9
recent	4
taiwan	79
previous	7
meteorite	3
early	3
election	11
lunar	3
drift	3
island	43
sighting	6
image	3
weather	7
additional	3
area	7
altitude	3
continental	6
start	6
north	6
line	3
official	9
record	7
ship	6
detail	3
department	3
monday	4
warplane	6
important	3
aware	5
time	10
