"";"";"";"";"middle";""
"1";"middle";"0.297122374690313";"-0.199578998027121";"0.996460837751064";"64"
"2";"china";"0.242064002487119";"-0.0685317273423908";"0.98071193907265";"67"
"3";"threat";"0.247626981760591";"-0.289212705345401";"0.927346374972";"94"
"4";"remember";"-0.0102093967957743";"-0.635140035877736";"0.850881057268723";"128"
"5";"administration";"0.475422741412662";"0.293052205966476";"0.842318748600015";"139"
"6";"terrorist";"0.198131588830869";"-0.37884641266368";"0.840060106025536";"140"
"7";"february";"0.198131588830869";"-0.37884641266368";"0.840060106025536";"142"
"8";"medium";"0.397544706817622";"-0.182188029976601";"0.813736653475696";"186"
"9";"situation";"0.471787796212205";"-0.0477374689991826";"0.811087881729262";"200"
"10";"catch";"0.471787796212205";"-0.0477374689991826";"0.811087881729262";"202"
"11";"week";"0.497012674766354";"-0.0568794308687221";"0.802833569775256";"205"
"12";"shit";"0.497012674766354";"-0.0568794308687221";"0.802833569775256";"207"
"13";"power";"0.497012674766354";"-0.0568794308687221";"0.802833569775256";"208"
"14";"destroy";"0.497012674766354";"-0.0568794308687221";"0.802833569775256";"211"
"15";"bring";"0.497012674766354";"-0.0568794308687221";"0.802833569775256";"212"
"16";"government";"0.466698872931564";"-0.524843013951105";"0.802771970432315";"213"
