"";"X";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14"
"1";1;0;0;0;0;0;0;0;0;0;0;0;3;3;3
"2";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"3";3;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"4";4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5";5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"6";6;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"7";7;0;0;0;0;0;0;0;0;0;0;4;4;4;4
"8";8;0;0;0;0;0;0;0;0;0;0;0;3;3;3
"9";9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"10";10;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"11";11;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"12";12;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"13";13;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"14";14;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"15";15;0;0;0;0;0;0;0;0;0;0;0;3;3;3
"16";16;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"17";17;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"18";18;0;0;0;0;0;0;0;0;0;0;0;3;3;3
"19";19;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"20";20;0;0;0;0;0;0;0;0;0;0;0;3;3;3
"21";21;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"22";22;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"23";23;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"24";24;0;0;0;0;0;0;0;0;0;0;4;4;4;4
"25";25;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"26";26;0;0;0;0;0;0;0;0;0;0;4;4;4;4
"27";27;0;0;0;0;0;0;5;5;5;5;5;5;5;5
"28";28;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"29";29;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"30";30;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"31";31;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"32";32;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"33";33;0;0;0;0;0;0;0;0;0;0;0;3;3;3
"34";34;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"35";35;0;0;0;0;0;0;5;5;5;5;5;5;5;5
"36";36;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"37";37;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"38";38;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"39";39;0;0;0;0;0;0;5;5;5;5;5;5;5;5
"40";40;0;0;0;0;0;0;0;0;0;0;0;3;3;3
"41";41;0;0;0;0;0;0;5;5;5;5;5;5;5;5
"42";42;0;0;0;0;0;0;5;5;5;5;5;5;5;5
"43";43;0;0;0;0;0;0;0;0;0;0;4;4;4;4
"44";44;0;0;0;0;0;0;0;0;0;0;0;3;3;3
"45";45;0;0;0;0;0;0;5;5;5;5;5;5;5;5
"46";46;0;0;0;0;0;0;5;5;5;5;5;5;5;5
"47";47;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"48";48;0;0;0;0;0;0;5;5;5;5;5;5;5;5
"49";49;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"50";50;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"51";51;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"52";52;0;0;0;0;0;0;5;5;5;5;5;5;5;5
"53";53;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"54";54;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"55";55;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"56";56;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"57";57;0;0;0;0;0;0;5;5;5;5;5;5;5;5
"58";58;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"59";59;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"60";60;0;0;0;0;0;0;0;0;0;0;0;3;3;3
"61";61;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"62";62;0;0;0;0;0;0;0;0;0;0;4;4;4;4
"63";63;0;0;0;0;0;0;0;0;0;0;0;3;3;3
"64";64;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"65";65;0;0;0;0;0;0;0;0;0;0;0;3;3;3
"66";66;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"67";67;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"68";68;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"69";69;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"70";70;0;0;0;0;0;0;0;0;0;0;4;4;4;4
"71";71;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"72";72;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"73";73;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"74";74;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"75";75;0;0;0;0;0;0;5;5;5;5;5;5;5;5
"76";76;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"77";77;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"78";78;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"79";79;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"80";80;0;0;0;0;0;0;0;0;0;0;0;3;3;3
"81";81;0;0;0;0;0;0;5;5;5;5;5;5;5;5
"82";82;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"83";83;0;0;0;0;0;0;0;0;0;0;4;4;4;4
"84";84;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"85";85;0;0;0;0;0;0;5;5;5;5;5;5;5;5
"86";86;0;0;0;0;0;0;0;0;0;0;4;4;4;4
"87";87;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"88";88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"89";89;0;0;0;0;0;0;0;0;0;0;0;3;3;3
"90";90;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"91";91;0;0;0;0;0;0;5;5;5;5;5;5;5;5
"92";92;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"93";93;0;0;0;0;0;0;0;0;0;0;0;3;3;3
"94";94;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"95";95;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"96";96;0;0;0;0;0;0;0;0;0;0;0;3;3;3
"97";97;0;0;0;0;0;0;0;0;0;0;0;3;3;3
"98";98;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"99";99;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"100";100;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"101";101;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"102";102;0;0;0;0;0;0;0;0;0;0;0;3;3;3
"103";103;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"104";104;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"105";105;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"106";106;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"107";107;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"108";108;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"109";109;0;0;0;0;0;0;0;0;0;0;0;3;3;3
"110";110;0;0;0;0;0;0;0;0;0;0;0;3;3;3
"111";111;0;0;0;0;0;0;0;0;0;0;0;3;3;3
"112";112;0;0;0;0;0;0;0;0;0;0;4;4;4;4
"113";113;0;0;0;0;0;0;0;0;0;0;0;3;3;3
"114";114;0;0;0;0;0;0;0;0;0;0;4;4;4;4
"115";115;0;0;0;0;0;0;0;0;0;0;4;4;4;4
"116";116;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"117";117;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"118";118;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"119";119;0;0;0;0;0;0;0;0;0;0;0;3;3;3
"120";120;0;0;0;0;0;0;0;0;0;0;0;3;3;3
"121";121;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"122";122;0;0;0;0;0;0;0;0;0;0;0;3;3;3
"123";123;0;0;0;0;0;0;0;0;0;0;0;0;0;2
