"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"mass";"chi.distance";"inertie"
"chinese";0,399573939470842;-0,518380167023731;-0,204330875742906;0,308393810102291;0,531474660833368;-0,689499229645799;-0,271781195307835;0,410195659517444;0,384699961142426;0,443267361021012;0,0581894178210965;0,113843260015463;0,0165105211818686;0,0277883798238432;0,004317521058655;0,00983507728364748;0,103410936654034;0,429350359077127;0,0190629510505548
"balloon";0,403099490244765;-0,535477942584865;-0,209217127390437;0,373038738402045;0,506991031969254;-0,673487616030047;-0,263139026191557;0,469182669598818;0,358504830260887;0,433106651750821;0,0558615743230726;0,152526943665221;0,0163632869629776;0,0288754805744749;0,00440798916577812;0,0140137354980171;0,100703844071467;0,448683903411987;0,0202734204676065
"spy";0,3669577346196;-0,403759689162441;-0,472828676966102;-0,13679172596138;0,499385277255288;-0,549468304642529;-0,643462877777304;-0,186157062655369;0,349872999649869;0,289978246400929;0,335996026426374;0,0241527275228364;0,00845713349413604;0,0102385158877834;0,0140410217110642;0,00117519721159351;0,0628045479155387;0,413462930105532;0,0107365376125005
"biden";0,293842947210892;-0,00763471542388988;-0,0479173374803256;-1,68196829826157;0,172025887819256;-0,00446962811770132;-0,0280524770127353;-0,984682778806422;0,0578275273881975;2,67258148948226e-05;0,000889482945157765;0,941256263851744;0,00215041102911576;1,4516992213178e-06;5,71842320711191e-05;0,0704573894923756;0,0249052517596102;0,81437363668148;0,0165172730512202
"military";0,425986007152193;0,542430807279294;0,522875992817254;-0,687576328324052;0,385376618361536;0,490720696677081;0,47303004922965;-0,622029446568877;0,233876006517511;0,259612061029878;0,203817089098846;0,302694843353765;0,00343868042237759;0,0055755773275573;0,00518082059299513;0,00895865850271006;0,0189496480779643;0,587054261520161;0,00653066849426873
"trump";-2,63040206048972;0,332163176228242;0,361063054615722;0,637623139431824;-0,956271060002628;0,120756456739729;0,131262879979983;0,231805078237033;0,95146871765245;0,0103871015963839;0,0103696604037359;0,0277745203474291;0,0936520709235052;0,00149339977858736;0,00176457132388245;0,00550302203490654;0,0135354629128316;1,79721744380721;0,043719417167365
"fly";0,365065633423205;-0,683577583279154;0,445051573249218;0,22789167470479;0,395839659318399;-0,741201287959185;0,482568193237359;0,247102314262676;0,224537332992248;0,538968582697078;0,19302587353441;0,0434682107762665;0,00202037989593243;0,00708380765897645;0,00300269912281803;0,000787314147911805;0,0151597184623714;0,513455035648995;0,00399664865280601
"allow";0,31415887452589;0,274323355836893;0,0978593812133081;-1,7528021370842;0,174107606688471;0,152030666062165;0,0542339053155083;-0,971407175896975;0,0586764880449802;0,0306289553901494;0,0032932034814271;0,907401353083444;0,00133589331948259;0,00101858829937216;0,000129621798747314;0,0415852102296553;0,0135354629128316;0,864356739373617;0,0101125145222061
"russian";0,945554041518634;2,82074072845286;-1,23225109175628;0,76452877444297;0,285698501212761;0,852284864791509;-0,372323817121159;0,231001841673246;0,119052830177363;0,72532812926493;0,116953608122636;0,0386654324350719;0,0106494822953486;0,094772453523206;0,0180864865018732;0,0069621512901613;0,0119112073632918;1,82638461206114;0,0397319851249711
"down";-0,0312941855259912;-0,883708958364492;0,199181833652912;-0,982841441460845;-0,0234062551951723;-0,660963595954909;0,148976583041292;-0,735109005349163;0,000943066992507901;0,5148431301754;0,0220985042423068;0,462115298589786;1,11347303748989e-05;0,0088791402192565;0,000451078213321095;0,0109829579210122;0,0113697888467786;0,679153787140305;0,00524431358869919
