"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"5";"***";"";""
"**";"classe";"1";"**";"";""
"****";"27";"251";"10.76";"****";""
"6";"116";"5.17";"-7.01";"spy";"0.008120688"
"1";" 46";"2.17";"-4.32";"biden";"0.037619864"
"0";" 22";"0.00";"-2.91";"russian";"0.088220823"
"*****";"*";"*";"*";"*";"*"
"4";"76";"5.26";"-3.43";"is";"0.06413276"
"0";"17";"0.00";"-2.20";"but";"0.13819227"
"*";"*";"*";"*";"*";"*"
"24";"242";"9.92";"-4.96";"débunkage";"0.02599803"
"24";"242";"9.92";"-4.96";"*phase_Après";"0.02599803"
"**";"classe";"2";"**";"";""
"****";"70";"251";"27.89";"****";""
"0";"22";"0.00";"-9.33";"russian";"0.002259648"
"0";"13";"0.00";"-5.30";"sub";"0.021297988"
"0";"11";"0.00";"-4.45";"coast";"0.034919130"
"0";"11";"0.00";"-4.45";"weather";"0.034919130"
"0";"11";"0.00";"-4.45";"nuclear";"0.034919130"
"0";"10";"0.00";"-4.03";"million";"0.044754240"
"1";"13";"7.69";"-2.78";"war";"0.095408944"
"0";" 7";"0.00";"-2.78";"air";"0.095159758"
"0";" 7";"0.00";"-2.78";"florida";"0.095159758"
"0";" 7";"0.00";"-2.78";"submarine";"0.095159758"
"0";" 7";"0.00";"-2.78";"ship";"0.095159758"
"0";" 7";"0.00";"-2.78";"problem";"0.095159758"
"0";" 6";"0.00";"-2.38";"attack";"0.123112593"
"0";" 6";"0.00";"-2.38";"white";"0.123112593"
"0";" 6";"0.00";"-2.38";"warship";"0.123112593"
"0";" 6";"0.00";"-2.38";"track";"0.123112593"
"0";" 6";"0.00";"-2.38";"airspace";"0.123112593"
"*****";"*";"*";"*";"*";"*"
"2";"22";" 9.09";"-4.24";"at";"0.03955764"
"8";"48";"16.67";"-3.72";"u";"0.05388297"
"0";" 8";" 0.00";"-3.20";"2";"0.07382853"
"1";"14";" 7.14";"-3.17";"off";"0.07486290"
"1";"12";" 8.33";"-2.40";"can";"0.12161945"
"0";" 6";" 0.00";"-2.38";"into";"0.12311259"
"0";" 6";" 0.00";"-2.38";"way";"0.12311259"
"0";" 6";" 0.00";"-2.38";"where";"0.12311259"
"*";"*";"*";"*";"*";"*"
"**";"classe";"3";"**";"";""
"****";"72";"251";"28.69";"****";""
"3";"46";"6.52";"-13.52";"biden";"0.0002354853"
"1";"35";"2.86";"-13.26";"military";"0.0002707242"
"0";"25";"0.00";"-11.17";"allow";"0.0008320950"
"0";"22";"0.00";" -9.70";"russian";"0.0018433823"
"0";"22";"0.00";" -9.70";"border";"0.0018433823"
"1";"22";"4.55";" -6.87";"country";"0.0087706188"
"0";"15";"0.00";" -6.42";"man";"0.0113032571"
"0";"15";"0.00";" -6.42";"cross";"0.0113032571"
"1";"21";"4.76";" -6.41";"base";"0.0113372667"
"1";"20";"5.00";" -5.96";"state";"0.0146381801"
"2";"25";"8.00";" -5.81";"trump";"0.0159579750"
"0";"13";"0.00";" -5.51";"war";"0.0188576234"
"0";"13";"0.00";" -5.51";"america";"0.0188576234"
"0";"11";"0.00";" -4.63";"coast";"0.0314656830"
"0";"11";"0.00";" -4.63";"nuclear";"0.0314656830"
"1";"16";"6.25";" -4.20";"russia";"0.0403086719"
"0";"10";"0.00";" -4.19";"entire";"0.0406811219"
"1";"15";"6.67";" -3.78";"joe";"0.0518410926"
"0";" 9";"0.00";" -3.75";"hunter";"0.0526578591"
"0";" 9";"0.00";" -3.75";"pay";"0.0526578591"
"0";" 8";"0.00";" -3.32";"china";"0.0682831873"
"0";" 8";"0.00";" -3.32";"traverse";"0.0682831873"
"1";"13";"7.69";" -2.95";"sub";"0.0856874434"
"0";" 7";"0.00";" -2.90";"florida";"0.0887765683"
"0";" 7";"0.00";" -2.90";"tell";"0.0887765683"
"0";" 7";"0.00";" -2.90";"submarine";"0.0887765683"
"0";" 7";"0.00";" -2.90";"problem";"0.0887765683"
"0";" 7";"0.00";" -2.90";"care";"0.0887765683"
"0";" 7";"0.00";" -2.90";"age";"0.0887765683"
"1";"12";"8.33";" -2.55";"year";"0.1101754926"
"1";"12";"8.33";" -2.55";"unite";"0.1101754926"
"0";" 6";"0.00";" -2.47";"national";"0.1158526609"
"0";" 6";"0.00";" -2.47";"president";"0.1158526609"
"0";" 6";"0.00";" -2.47";"high";"0.1158526609"
"0";" 6";"0.00";" -2.47";"cuba";"0.1158526609"
"0";" 6";"0.00";" -2.47";"party";"0.1158526609"
"0";" 6";"0.00";" -2.47";"ccp";"0.1158526609"
"0";" 6";"0.00";" -2.47";"warship";"0.1158526609"
"0";" 6";"0.00";" -2.47";"laptop";"0.1158526609"
"0";" 6";"0.00";" -2.47";"democrat";"0.1158526609"
"0";" 6";"0.00";" -2.47";"airspace";"0.1158526609"
"1";"11";"9.09";" -2.16";"let";"0.1417249114"
"0";" 5";"0.00";" -2.05";"world";"0.1520013333"
"0";" 5";"0.00";" -2.05";"stop";"0.1520013333"
"0";" 5";"0.00";" -2.05";"southern";"0.1520013333"
"0";" 5";"0.00";" -2.05";"good";"0.1520013333"
"0";" 5";"0.00";" -2.05";"donald";"0.1520013333"
"0";" 5";"0.00";" -2.05";"child";"0.1520013333"
"0";" 5";"0.00";" -2.05";"bad";"0.1520013333"
"*****";"*";"*";"*";"*";"*"
" 2";" 45";" 4.44";"-15.75";"our";"7.229516e-05"
"20";"118";"16.95";"-14.99";"to";"1.078603e-04"
" 0";" 25";" 0.00";"-11.17";"his";"8.320950e-04"
"15";" 90";"16.67";" -9.91";"and";"1.646160e-03"
" 7";" 57";"12.28";" -9.70";"that";"1.841201e-03"
" 0";" 14";" 0.00";" -5.96";"who";"1.460142e-02"
" 0";" 14";" 0.00";" -5.96";"off";"1.460142e-02"
"14";" 76";"18.42";" -5.61";"in";"1.781892e-02"
" 1";" 19";" 5.26";" -5.51";"has";"1.888044e-02"
" 3";" 29";"10.34";" -5.39";"with";"2.023649e-02"
" 7";" 46";"15.22";" -4.99";"over";"2.543725e-02"
"15";" 78";"19.23";" -4.94";"of";"2.616727e-02"
" 3";" 26";"11.54";" -4.17";"s";"4.117928e-02"
" 0";"  9";" 0.00";" -3.75";"being";"5.265786e-02"
" 1";" 14";" 7.14";" -3.36";"up";"6.665246e-02"
" 0";"  8";" 0.00";" -3.32";"then";"6.828319e-02"
" 0";"  8";" 0.00";" -3.32";"since";"6.828319e-02"
" 3";" 23";"13.04";" -3.03";"when";"8.182296e-02"
" 1";" 13";" 7.69";" -2.95";"did";"8.568744e-02"
" 4";" 27";"14.81";" -2.85";"are";"9.163997e-02"
" 0";"  6";" 0.00";" -2.47";"never";"1.158527e-01"
" 0";"  6";" 0.00";" -2.47";"what_s";"1.158527e-01"
" 0";"  6";" 0.00";" -2.47";"two";"1.158527e-01"
" 0";"  6";" 0.00";" -2.47";"oh";"1.158527e-01"
