chinese;23;60;70;37;1
balloon;23;56;70;36;1
spy;6;46;38;25;1
biden;1;33;3;9;0
military;6;17;1;11;0
trump;4;4;2;1;14
fly;6;10;9;3;0
allow;1;18;0;6;0
russian;0;0;0;22;0
down;2;13;5;0;1
country;1;16;1;3;1
border;7;6;0;9;0
base;3;6;1;11;0
joe;1;10;1;2;1
state;2;13;1;3;1
know;1;6;4;2;5
russia;7;3;1;5;0
0001f923;0;1;8;0;0
war;6;1;0;6;0
shoot;2;9;2;0;0
man;0;6;0;9;0
remember;0;7;5;2;1
person;0;2;2;0;7
china;1;6;0;1;0
time;0;3;9;3;0
cross;5;4;0;6;0
thing;0;4;8;1;1
right;1;6;1;1;1
let;1;7;1;1;1
year;4;7;1;0;0
sub;1;0;1;11;0
coast;0;0;0;11;0
america;3;9;0;1;0
air;0;0;6;1;0
weather;0;0;10;1;0
unite;0;9;1;2;0
ukraine;1;4;1;4;0
nuclear;0;0;0;11;0
need;0;5;2;0;4
float;2;3;4;2;0
worry;0;2;5;2;0
hunter;0;3;0;5;1
entire;0;8;0;1;1
national;4;1;0;0;1
million;0;0;1;8;1
back;0;7;1;1;0
0001f602;0;0;4;0;0
traverse;1;5;0;2;0
president;0;4;0;1;1
pay;0;3;0;3;3
missile;1;1;1;2;0
mark;1;0;0;0;2
high;3;2;0;1;0
florida;0;0;0;7;0
cuba;2;1;0;3;0
call;0;0;0;0;4
world;0;1;0;1;3
well;0;4;4;0;0
reason;1;0;1;1;2
news;1;1;1;1;0
happen;1;5;1;1;0
enter;0;4;1;2;0
big;1;1;5;0;0
attack;5;0;1;0;0
administration;2;2;1;2;0
wake;0;4;2;0;1
tell;1;2;0;0;4
submarine;0;0;0;7;0
ship;0;0;1;6;0
problem;0;0;0;7;0
party;1;3;0;1;1
interest;0;1;4;0;0
illegal;0;0;1;3;0
find;1;2;3;1;0
day;2;1;1;0;2
ccp;2;3;0;1;0
care;1;3;0;3;0
area;0;1;2;1;1
age;0;1;0;6;0
aerial;1;1;1;0;0
woman;0;1;0;1;1
white;0;0;4;0;2
warship;0;0;0;6;0
usa;0;0;1;4;0
track;1;0;4;1;0
stop;0;3;0;0;2
point;0;1;1;1;1
object;1;0;4;0;0
money;1;2;0;0;1
mile;0;1;2;3;0
laptop;1;1;0;4;0
government;1;1;2;1;0
democrat;0;3;0;1;2
american;0;1;1;2;1
airspace;6;0;0;0;0
0001f525;0;1;2;0;1
word;0;2;1;0;1
water;0;3;1;1;0
surveillance;0;3;1;0;0
story;0;1;4;0;0
southern;0;4;0;0;1
soil;3;0;1;1;0
secret;0;1;0;2;0
report;4;0;0;0;0
medium;0;2;1;1;0
matter;0;0;0;0;3
incident;4;0;0;0;0
house;0;1;1;0;2
good;0;1;0;0;4
feel;0;1;1;1;2
drone;1;1;2;0;0
donald;0;1;0;0;4
china_s;0;1;0;2;0
child;1;3;0;0;1
bad;0;4;0;1;0
arrest;1;1;0;1;0
act;0;4;0;0;0
0001f3af;2;1;0;0;0
0001f388;0;0;4;0;0
watch;1;1;1;0;1
wait;2;2;0;0;0
vote;0;0;0;1;3
traitor;0;3;0;0;1
threat;2;2;0;0;0
surprise;0;2;2;0;0
spend;0;2;0;0;1
south;4;0;0;0;0
son;0;0;1;2;1
situation;1;1;1;1;0
set;1;1;0;0;2
sensitive;0;3;0;0;0
secretary;2;0;0;0;1
real;0;0;3;0;0
push;0;2;0;1;0
office;1;1;0;1;1
north;2;0;0;1;0
nation;0;2;0;1;0
member;0;1;1;0;1
lot;0;0;2;1;0
lol;1;1;2;0;0
life;0;2;1;0;1
joebiden;0;2;0;2;0
inflation;3;1;0;0;0
head;0;1;0;2;1
hate;0;3;0;0;1
hard;1;1;0;2;0
forget;0;2;1;0;0
family;0;3;0;1;0
election;1;0;0;0;3
catch;1;1;1;1;0
americans;0;0;1;1;2
week;0;1;1;1;0
video;0;1;0;0;2
travel;0;2;0;1;0
texas;1;0;2;0;0
terrorist;1;2;0;0;0
term;0;3;0;0;0
target;1;1;0;1;0
taiwan;1;0;1;1;0
stuff;0;1;2;0;0
steal;0;1;0;0;2
start;0;1;0;2;0
spot;0;1;1;1;0
source;0;1;0;1;1
soldier;1;2;0;0;0
sleep;0;2;0;1;0
shit;0;1;1;1;0
sexual;0;2;0;0;1
sell;0;2;0;1;0
schumer;0;0;0;0;3
sanction;1;1;0;1;0
russia_s;0;0;0;3;0
remind;0;0;0;1;2
refuse;0;1;1;0;1
put;0;0;1;0;2
power;0;1;1;1;0
pompeo;2;0;1;0;0
play;0;0;0;1;2
pant;0;2;0;0;1
october;2;0;0;1;0
night;0;1;2;0;0
montana;0;1;2;0;0
mike;2;0;1;0;0
middle;2;1;0;0;0
map;1;1;0;1;0
maga;0;0;0;0;3
long;0;1;2;0;0
line;0;0;0;2;1
kill;0;1;1;1;0
jet;0;1;1;1;0
installation;0;3;0;0;0
information;0;2;1;0;0
hey;0;1;1;0;1
hack;1;1;0;1;0
guess;1;0;1;0;1
grid;1;1;0;1;0
girl;0;3;0;0;0
garbage;1;0;1;0;1
front;0;2;0;0;1
footage;1;1;0;0;1
february;1;2;0;0;0
fall;0;1;2;0;0
fake;0;0;2;0;1
economy;0;2;0;1;0
east;1;1;0;1;0
drug;1;0;0;2;0
destroy;0;1;1;1;0
compromise;0;2;1;0;0
bring;0;1;1;1;0
billion;1;2;0;0;0
bill;0;1;1;0;1
atlantic;1;2;0;0;0
army;0;1;0;0;2
america_s;1;0;0;2;0
afghanistan;0;2;0;1;0
