"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"5";"***";"";""
"**";"classe";"1";"**";"";""
"****";"27";"251";"10.76";"****";""
"6";" 6";"100.00";"51.00";"airspace";"9.251547e-13"
"5";" 6";" 83.33";"33.73";"attack";"6.339612e-09"
"4";" 4";"100.00";"33.72";"report";"6.355808e-09"
"4";" 4";"100.00";"33.72";"incident";"6.355808e-09"
"4";" 4";"100.00";"33.72";"south";"6.355808e-09"
"4";" 6";" 66.67";"20.02";"national";"7.681263e-06"
"7";"16";" 43.75";"19.38";"russia";"1.072431e-05"
"6";"13";" 46.15";"17.89";"war";"2.335656e-05"
"3";" 4";" 75.00";"17.48";"inflation";"2.910661e-05"
"3";" 5";" 60.00";"12.89";"soil";"3.309671e-04"
"7";"22";" 31.82";"11.14";"border";"8.439479e-04"
"2";" 3";" 66.67";" 9.89";"0001f3af";"1.664739e-03"
"2";" 3";" 66.67";" 9.89";"secretary";"1.664739e-03"
"2";" 3";" 66.67";" 9.89";"north";"1.664739e-03"
"2";" 3";" 66.67";" 9.89";"pompeo";"1.664739e-03"
"2";" 3";" 66.67";" 9.89";"october";"1.664739e-03"
"2";" 3";" 66.67";" 9.89";"mike";"1.664739e-03"
"2";" 3";" 66.67";" 9.89";"middle";"1.664739e-03"
"3";" 6";" 50.00";" 9.86";"high";"1.688222e-03"
"5";"15";" 33.33";" 8.47";"cross";"3.610007e-03"
"4";"12";" 33.33";" 6.69";"year";"9.689281e-03"
"2";" 4";" 50.00";" 6.52";"wait";"1.066231e-02"
"2";" 4";" 50.00";" 6.52";"threat";"1.066231e-02"
"6";"28";" 21.43";" 3.74";"fly";"5.316553e-02"
"2";" 6";" 33.33";" 3.26";"cuba";"7.083167e-02"
"2";" 6";" 33.33";" 3.26";"day";"7.083167e-02"
"2";" 6";" 33.33";" 3.26";"ccp";"7.083167e-02"
"2";" 7";" 28.57";" 2.38";"administration";"1.228606e-01"
"3";"13";" 23.08";" 2.17";"america";"1.409394e-01"
"*****";"*";"*";"*";"*";"*"
"4";" 8";"50.00";"13.26";"since";"0.0002716839"
"3";" 6";"50.00";" 9.86";"where";"0.0016882222"
"3";" 7";"42.86";" 7.73";"through";"0.0054336031"
"2";" 4";"50.00";" 6.52";"until";"0.0106623131"
"3";" 8";"37.50";" 6.16";"com";"0.0130950636"
"3";" 8";"37.50";" 6.16";"2023";"0.0130950636"
"3";" 8";"37.50";" 6.16";"2";"0.0130950636"
"3";" 9";"33.33";" 4.96";"being";"0.0259980324"
"3";" 9";"33.33";" 4.96";"even";"0.0259980324"
"2";" 5";"40.00";" 4.54";"during";"0.0330240909"
"2";" 6";"33.33";" 3.26";"into";"0.0708316711"
"2";" 6";"33.33";" 3.26";"3";"0.0708316711"
"3";"12";"25.00";" 2.66";"their";"0.1026964801"
"2";" 7";"28.57";" 2.38";"more";"0.1228605629"
"4";"19";"21.05";" 2.27";"has";"0.1319188179"
"*";"*";"*";"*";"*";"*"
"3";"4";" 75";"17.48";"*phase_Pic";"2.910661e-05"
"1";"1";"100";" 8.33";"*id_1800768995680985344";"3.900679e-03"
"1";"1";"100";" 8.33";"*id_1792100320320815360";"3.900679e-03"
"1";"2";" 50";" 3.23";"*id_1800613370430644480";"7.211611e-02"
"1";"2";" 50";" 3.23";"*id_1800338076100923392";"7.211611e-02"
"**";"classe";"2";"**";"";""
"****";"70";"251";"27.89";"****";""
"33";" 46";" 71.74";"53.85";"biden";"2.161827e-13"
"18";" 25";" 72.00";"26.86";"allow";"2.182164e-07"
"16";" 22";" 72.73";"24.11";"country";"9.113617e-07"
"13";" 20";" 65.00";"14.88";"state";"1.144092e-04"
"46";"116";" 39.66";"14.85";"spy";"1.165060e-04"
" 8";" 10";" 80.00";"14.06";"entire";"1.767341e-04"
" 9";" 12";" 75.00";"13.91";"unite";"1.919205e-04"
"13";" 21";" 61.90";"13.19";"down";"2.820598e-04"
"10";" 15";" 66.67";"11.93";"joe";"5.527049e-04"
" 9";" 13";" 69.23";"11.65";"shoot";"6.413334e-04"
" 9";" 13";" 69.23";"11.65";"america";"6.413334e-04"
" 7";"  9";" 77.78";"11.55";"back";"6.764749e-04"
" 4";"  4";"100.00";"10.51";"act";"1.187076e-03"
" 6";"  8";" 75.00";" 9.12";"china";"2.528640e-03"
"17";" 35";" 48.57";" 8.65";"military";"3.268145e-03"
" 3";"  3";"100.00";" 7.85";"sensitive";"5.079319e-03"
" 3";"  3";"100.00";" 7.85";"term";"5.079319e-03"
" 3";"  3";"100.00";" 7.85";"installation";"5.079319e-03"
" 3";"  3";"100.00";" 7.85";"girl";"5.079319e-03"
" 7";" 11";" 63.64";" 7.31";"let";"6.856543e-03"
" 4";"  5";" 80.00";" 6.89";"southern";"8.673446e-03"
" 4";"  5";" 80.00";" 6.89";"bad";"8.673446e-03"
" 7";" 12";" 58.33";" 5.81";"year";"1.594979e-02"
" 6";" 10";" 60.00";" 5.34";"right";"2.084017e-02"
"60";"191";" 31.41";" 4.94";"chinese";"2.628369e-02"
" 5";"  8";" 62.50";" 4.92";"traverse";"2.651179e-02"
" 5";"  8";" 62.50";" 4.92";"happen";"2.651179e-02"
" 4";"  6";" 66.67";" 4.60";"president";"3.204161e-02"
" 3";"  4";" 75.00";" 4.49";"surveillance";"3.417289e-02"
" 3";"  4";" 75.00";" 4.49";"traitor";"3.417289e-02"
" 3";"  4";" 75.00";" 4.49";"hate";"3.417289e-02"
" 3";"  4";" 75.00";" 4.49";"family";"3.417289e-02"
" 4";"  7";" 57.14";" 3.06";"enter";"8.002817e-02"
" 4";"  7";" 57.14";" 3.06";"wake";"8.002817e-02"
" 7";" 15";" 46.67";" 2.80";"remember";"9.442561e-02"
" 3";"  5";" 60.00";" 2.62";"stop";"1.058051e-01"
" 3";"  5";" 60.00";" 2.62";"water";"1.058051e-01"
" 3";"  5";" 60.00";" 2.62";"child";"1.058051e-01"
" 2";"  3";" 66.67";" 2.27";"spend";"1.318714e-01"
" 2";"  3";" 66.67";" 2.27";"push";"1.318714e-01"
" 2";"  3";" 66.67";" 2.27";"nation";"1.318714e-01"
" 2";"  3";" 66.67";" 2.27";"forget";"1.318714e-01"
" 2";"  3";" 66.67";" 2.27";"travel";"1.318714e-01"
" 2";"  3";" 66.67";" 2.27";"terrorist";"1.318714e-01"
" 2";"  3";" 66.67";" 2.27";"soldier";"1.318714e-01"
" 2";"  3";" 66.67";" 2.27";"sleep";"1.318714e-01"
" 2";"  3";" 66.67";" 2.27";"sexual";"1.318714e-01"
" 2";"  3";" 66.67";" 2.27";"sell";"1.318714e-01"
" 2";"  3";" 66.67";" 2.27";"pant";"1.318714e-01"
" 2";"  3";" 66.67";" 2.27";"information";"1.318714e-01"
" 2";"  3";" 66.67";" 2.27";"front";"1.318714e-01"
" 2";"  3";" 66.67";" 2.27";"february";"1.318714e-01"
