"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5"
"chinese";0,241;0,026;0;0,445;0
"balloon";0,164;0,185;0;0,476;0
"spy";0,008;0;0,186;0,221;0
"biden";0,038;0;0;0,81;0,002
"military";0,189;0,003;0;0,031;0,009
"trump";0,373;0,162;0,016;0,051;0
"fly";0,053;0,327;0,668;0,269;0,022
"allow";0,25;0;0,001;0,44;0,031
"russian";0,088;0,002;0,002;0;0,044
"down";0,849;0;0,606;0,023;0,191
"country";0,325;0;0,009;0,552;0,17
"border";0,001;0,946;0,002;0,004;0,044
"base";0,586;0,942;0,011;0;0,05
"joe";0,598;0,001;0,052;0,606;0,382
"state";0,909;0;0,015;0,689;0,214
"know";0,46;0,593;0,529;0,411;0,091
"russia";0;0,4;0,04;0,167;0,091
"0001f923";0,289;0,253;0;0,148;0,211
"war";0;0,095;0,019;0,008;0,13
"shoot";0,58;0,001;0,276;0,079;0,13
"man";0,166;0,281;0,011;0;0,102
"remember";0,166;0,094;0,681;0,606;0,382
"person";0,239;0,463;0,431;0,108;0
"china";0,872;0,003;0,068;0,665;0,239
"time";0,166;0,482;0,006;0,863;0,102
"cross";0,004;0,913;0,011;0,025;0,102
"thing";0,181;0,953;0,015;0,266;0,429
"right";0,937;0,021;0,182;0,487;0,689
"let";0,855;0,007;0,142;0,418;0,611
"year";0,01;0,016;0,11;0,093;0,146
"sub";0,714;0,021;0,086;0;0,13
"coast";0,239;0,035;0,031;0;0,165
"america";0,141;0,001;0,019;0,309;0,13
"air";0,352;0,095;0,001;0,779;0,272
"weather";0,239;0,035;0;0,418;0,165
"unite";0,218;0;0,11;0,879;0,146
"ukraine";0,937;0,383;0,182;0,071;0,187
"nuclear";0,239;0,035;0,031;0;0,165
"need";0,239;0,184;0,431;0,108;0,033
"float";0,416;0,963;0,565;0,99;0,165
"worry";0,289;0,699;0,07;0,758;0,211
"hunter";0,289;0,711;0,053;0,003;0,778
"entire";0,263;0;0,041;0,487;0,689
"national";0;0,535;0,116;0,24;0,869
"million";0,263;0,045;0,182;0;0,689
"back";0,289;0,001;0,235;0,569;0,211
"0001f602";0,484;0,21;0,001;0,34;0,409
"traverse";0,872;0,027;0,068;0,62;0,239
"president";0,389;0,032;0,116;0,915;0,869
"pay";0,289;0,711;0,053;0,236;0,098
"missile";0,5;0,691;0,664;0,206;0,355
"mark";0,204;0,279;0,269;0,409;0,009
"high";0,002;0,763;0,116;0,915;0,31
"florida";0,352;0,095;0,089;0;0,272
"cuba";0,071;0,535;0,116;0,042;0,31
"call";0,484;0,21;0,201;0,34;0
"world";0,433;0,691;0,152;0,922;0,003
"well";0,318;0,156;0,176;0,173;0,239
"reason";0,5;0,16;0,664;0,922;0,098
"news";0,354;0,897;0,87;0,728;0,409
"happen";0,872;0,027;0,304;0,665;0,239
"enter";0,352;0,08;0,393;0,477;0,272
"big";0,76;0,416;0,011;0,204;0,272
"attack";0;0,123;0,51;0,24;0,31
"administration";0,123;0,967;0,393;0,477;0,272
"wake";0,352;0,08;0,995;0,204;0,997
"tell";0,76;0,967;0,089;0,204;0,001
"submarine";0,352;0,095;0,089;0;0,272
"ship";0,352;0,095;0,393;0;0,272
"problem";0,352;0,095;0,089;0;0,272
"party";0,636;0,222;0,116;0,915;0,869
"interest";0,433;0,691;0,01;0,285;0,355
"illegal";0,484;0,21;0,87;0,003;0,409
"find";0,76;0,967;0,4;0,779;0,272
"day";0,071;0,535;0,51;0,24;0,179
"ccp";0,071;0,222;0,116;0,915;0,31
"care";0,76;0,37;0,089;0,089;0,272
"area";0,433;0,691;0,572;0,922;0,715
"age";0,352;0,416;0,089;0;0,272
"aerial";0,204;0,832;0,858;0,409;0,476
"woman";0,545;0,832;0,269;0,499;0,345
"white";0,389;0,123;0,037;0,24;0,179
"warship";0,389;0,123;0,116;0;0,31
"usa";0,433;0,16;0,664;0;0,355
