"";"x"
"1";3
"2";0
"3";1
"4";0
"5";0
"6";0
"7";4
"8";3
"9";0
"10";1
"11";0
"12";1
"13";1
"14";2
"15";3
"16";2
"17";0
"18";3
"19";2
"20";3
"21";1
"22";1
"23";0
"24";4
"25";0
"26";4
"27";5
"28";2
"29";2
"30";2
"31";0
"32";0
"33";3
"34";0
"35";5
"36";2
"37";2
"38";2
"39";5
"40";3
"41";5
"42";5
"43";4
"44";3
"45";5
"46";5
"47";0
"48";5
"49";0
"50";0
"51";0
"52";5
"53";2
"54";2
"55";0
"56";0
"57";5
"58";0
"59";0
"60";3
"61";2
"62";4
"63";3
"64";0
"65";3
"66";2
"67";0
"68";0
"69";0
"70";4
"71";0
"72";0
"73";1
"74";0
"75";5
"76";0
"77";0
"78";0
"79";0
"80";3
"81";5
"82";0
"83";4
"84";2
"85";5
"86";4
"87";0
"88";0
"89";3
"90";2
"91";5
"92";0
"93";3
"94";2
"95";0
"96";3
"97";3
"98";2
"99";2
"100";1
"101";0
"102";3
"103";0
"104";0
"105";0
"106";0
"107";0
"108";0
"109";3
"110";3
"111";3
"112";4
"113";3
"114";4
"115";4
"116";2
"117";0
"118";0
"119";3
"120";3
"121";0
"122";3
"123";2
"124";1
"125";3
"126";3
"127";3
"128";5
"129";2
"130";4
"131";3
"132";5
"133";4
"134";2
"135";4
"136";0
"137";4
"138";0
"139";3
"140";2
"141";3
"142";0
"143";3
"144";0
"145";2
"146";2
"147";2
"148";1
"149";2
"150";0
"151";2
"152";2
"153";3
"154";2
"155";3
"156";5
"157";5
"158";0
"159";4
"160";5
"161";3
"162";2
"163";2
"164";3
"165";3
"166";4
"167";0
"168";3
"169";5
"170";4
"171";3
"172";4
"173";2
"174";4
"175";3
"176";3
"177";3
"178";0
"179";3
"180";2
"181";4
"182";2
"183";2
"184";4
"185";4
"186";3
"187";0
"188";0
"189";0
"190";0
"191";0
"192";2
"193";0
"194";5
"195";3
"196";0
"197";2
"198";2
"199";0
"200";3
"201";0
"202";4
"203";0
"204";4
"205";4
"206";4
"207";3
"208";0
"209";0
"210";0
"211";2
"212";3
"213";4
"214";2
"215";0
"216";0
"217";0
"218";1
"219";2
"220";3
"221";3
"222";2
"223";2
"224";3
"225";5
"226";4
"227";1
"228";5
"229";2
"230";2
"231";4
"232";0
"233";5
"234";2
"235";5
"236";1
"237";2
"238";5
"239";4
"240";3
"241";2
"242";2
"243";1
"244";4
"245";4
"246";5
"247";5
"248";5
"249";5
"250";3
"251";5
"252";0
"253";5
"254";4
"255";5
"256";2
"257";0
"258";4
"259";5
"260";0
"261";0
"262";0
"263";4
"264";0
"265";0
"266";0
"267";2
"268";4
"269";0
"270";0
"271";5
"272";0
"273";4
"274";2
"275";3
"276";3
"277";2
"278";3
"279";2
"280";2
"281";0
"282";3
"283";3
"284";3
"285";1
"286";0
"287";3
"288";0
"289";0
"290";2
"291";3
"292";1
"293";0
"294";0
"295";0
"296";0
"297";5
"298";2
"299";3
"300";1
"301";1
"302";3
"303";3
"304";0
"305";0
"306";0
"307";0
"308";4
"309";1
"310";1
"311";0
"312";2
"313";4
"314";3
"315";0
"316";3
"317";0
"318";0
"319";2
"320";4
"321";2
"322";0
"323";1
"324";1
"325";1
"326";4
"327";3
"328";3
"329";4
"330";3
"331";0
"332";1
"333";2
"334";1
"335";3
"336";2
"337";4
"338";2
"339";2
"340";2
"341";2
"342";4
"343";4
"344";1
"345";2
"346";2
"347";0
"348";3
"349";1
"350";0
"351";2
"352";3
"353";0
"354";0
"355";3
"356";0
"357";0
