"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"even";-0,977082297844248;0,133829160826964;-0,583443807384108;-0,852702758223411;0,116793124611564;-0,509173224120883;0,808142947236252;0,0110621531642698;0,180794899599509;0,00185412665908059;3,4783927534763e-05;0,000661112208923798;0,00194212468440474;0,209252819210294;8,50393131626644e-05
"never";-0,977082297844228;0,133829160826969;-0,583443807384106;-0,852702758223406;0,11679312461157;-0,50917322412089;0,808142947236218;0,0110621531642706;0,180794899599507;0,00203953932498856;3,82623202882419e-05;0,000727223429816173;0,00213633715284521;0,209252819210294;9,35432444789308e-05
"china";6,91184815357264;4,83934868564889;-1,15295168530187;0,811630930292891;0,568265533107044;-0,135386546135367;0,727198378259433;0,260106146884164;0,0126954748564017;0,148451800032769;0,0727731076365637;0,00413065865570922;0,00310739949504758;1,56045771255069;0,00756660562488697
"military";-0,317595432597383;0,892562324345702;1,27769314509697;-0,199669190773588;0,561145340030835;0,80327337912911;0,0591100702273659;0,340645253573492;0,600244676199142;0,000881532073471035;0,00696252430139117;0,0142673314791707;0,00873956107982132;0,251494085952401;0,000552770904468151
"would";0,889853526205819;-3,87143826893983;0,35847644840622;0,223103078086369;-0,970642660826028;0,0898768130996861;0,0670571334876644;0,926114899762194;0,00682796675014103;0,00169163571161589;0,0320194944595708;0,000274530783585416;0,00213633715284521;0,661576849829234;0,000935040437080928
"me";-0,977082297844231;0,133829160826967;-0,583443807384104;-0,852702758223408;0,116793124611569;-0,509173224120887;0,808142947236224;0,0110621531642704;0,180794899599506;0,00185412665908053;3,47839275347647e-05;0,00066111220892379;0,00194212468440474;0,209252819210294;8,50393131626644e-05
"thing";-0,977082297844231;0,133829160826967;-0,583443807384104;-0,852702758223408;0,116793124611569;-0,509173224120887;0,808142947236224;0,0110621531642703;0,180794899599506;0,00259577732271274;4,86974985486705e-05;0,000925557092493306;0,00271897455816663;0,209252819210294;0,00011905503842773
"how";-0,977082297844231;0,133829160826967;-0,583443807384104;-0,852702758223408;0,116793124611569;-0,509173224120887;0,808142947236224;0,0110621531642703;0,180794899599506;0,00259577732271274;4,86974985486705e-05;0,000925557092493306;0,00271897455816663;0,209252819210294;0,00011905503842773
"over";-0,451153601083106;0,447530462481763;-0,621410999245288;-0,507595580723607;0,503519166087936;-0,699153184797133;0,343841784880579;0,246869399919516;0,409288815199904;0,00237179535952909;0,00233385334840715;0,00449972767507898;0,0116527481064284;0,148125342749636;0,00025567431149385
"them";-0,977082297844231;0,133829160826967;-0,583443807384104;-0,852702758223408;0,116793124611569;-0,509173224120887;0,808142947236224;0,0110621531642703;0,180794899599506;0,00241036465680468;4,5219105795194e-05;0,000859445871600927;0,00252476208972616;0,209252819210294;0,000110551107111464
"they";-0,977082297844231;0,133829160826967;-0,583443807384104;-0,852702758223408;0,116793124611569;-0,509173224120887;0,808142947236224;0,0110621531642703;0,180794899599506;0,00778733196813821;0,000146092495646011;0,00277667127747992;0,0081569236744999;0,209252819210294;0,00035716511528319
"their";-1,0710229413222;0,899874873779735;3,71801591128186;-0,269611426367335;0,226527872477097;0,935945939551624;0,110177991591443;0,0567510389462925;0,833070969462264;0,00445558415551934;0,00314536721095395;0,0536944739426882;0,00388424936880948;0,621205960461912;0,00149891957783417
"didn_t";1,12663248920027;1,38863436744615;-0,735312574828842;0,582700958772956;0,718209873274934;-0,380307994361783;0,42092259838897;0,466579636473197;0,112497765137832;0,00369771052356261;0,00561751429341396;0,00157511531181226;0,00291318702660711;0,334322353967393;0,000325611098355892
"do";-0,977082297844231;0,133829160826968;-0,583443807384104;-0,852702758223408;0,116793124611569;-0,509173224120887;0,808142947236224;0,0110621531642704;0,180794899599506;0,00370825331816105;6,95678550695294e-05;0,00132222441784758;0,00388424936880948;0,209252819210294;0,000170078626325329
"coast";-0,977082297844231;0,133829160826967;-0,583443807384104;-0,852702758223408;0,116793124611569;-0,509173224120887;0,808142947236224;0,0110621531642703;0,180794899599506;0,00241036465680468;4,5219105795194e-05;0,000859445871600927;0,00252476208972616;0,209252819210294;0,000110551107111464
"country";-0,121403378487958;-1,70191841114948;-0,151730356813539;-0,070872779631664;-0,993544743208553;-0,0885770418897063;0,00687885066279486;0,986379572291845;0,00674157704535937;6,8698917731398e-05;0,0135009964414507;0,000107308298366738;0,00466109924257137;0,281810453261601;0,000370171131796508
"com";1,58995446022459;-5,37341355510238;0,711696544327591;0,281471623951215;-0,951262113068632;0,125992528153327;0,105713604785475;0,880996748562261;0,0132896466522625;0,00785536666719927;0,0897217268880419;0,00157393504356678;0,00310739949504758;0,941463550277791;0,00275425478035087
"been";0,879136631900915;1,24101022549095;-0,717445661011814;0,522803506428273;0,738001891693594;-0,426649389455768;0,34821253172136;0,506284491489654;0,145502976788984;0,00255175387421858;0,00508483364850315;0,00169943303565343;0,00330161196348806;0,286825952568811;0,000271620734150145
"has";0,457268693322473;0,989378165340045;-0,686990694278243;0,35491788627628;0,767924881581073;-0,53322103320281;0,171467755782984;0,585701627272524;0,242830616944489;0,000893393372235875;0,00418238908314934;0,00201651518907513;0,00427267430569042;0,212600608447093;0,000193120685893501
"air";-0,977082297844231;0,133829160826967;-0,583443807384104;-0,852702758223408;0,116793124611569;-0,509173224120887;0,808142947236224;0,0110621531642703;0,180794899599506;0,00241036465680468;4,5219105795194e-05;0,000859445871600927;0,00252476208972616;0,209252819210294;0,000110551107111464
"is";-0,446734032202761;0,45016660787382;-0,621730051277735;-0,503006939142769;0,506871899627561;-0,700046353138255;0,338276893201291;0,250630010190983;0,411093096607725;0,00461234883819155;0,00468350106943289;0,00893362644062071;0,0231112837444164;0,147875810494567;0,000505380342629943
"it";0,340447262704809;1,3962648538121;1,81111118119018;0,147248976264933;0,603907250377292;0,783335031726954;0,0322276679716253;0,395527842876314;0,572244489152061;0,00155319467258509;0,0261253315978584;0,0439558236616068;0,0134006603223927;0,365106590720597;0,00178634584551284
"in";0,94777326279674;-0,0674320818881683;0,352152699306556;0,935307880237452;-0,0665451960363509;0,347521087202213;0,917167888786317;0,00338754702559898;0,0794445641880852;0,0197135326892559;9,97903826875721e-05;0,00272155800545057;0,0219460089337735;0,190530408511907;0,000796680429627442
