"";"banalfreq";"X.phase_Après";"X.phase_Début";"X.phase_Fin";"X.phase_Pic"
"even";10;0,1863;-0,0246;-0,0629;-0,0965
"never";11;0,2049;-0,027;-0,0692;-0,1061
"military";45;-0,2447;0,6473;-0,2841;0,1985
"would";11;-0,4246;-0,027;0,8317;-0,1061
"me";10;0,1863;-0,0246;-0,0629;-0,0965
"thing";14;0,2609;-0,0344;-0,0881;-0,1351
"how";14;0,2609;-0,0344;-0,0881;-0,1351
"over";60;0,5599;-0,148;-0,3794;-0,2083
"them";13;0,2422;-0,0319;-0,0818;-0,1254
"they";42;0,7849;-0,1034;-0,2651;-0,4064
"their";20;-0,2394;0,9706;-0,126;-0,1931
"didn_t";15;-0,3236;-0,0368;-0,0944;0,5475
"do";20;0,3729;-0,0491;-0,126;-0,1931
"coast";13;0,2422;-0,0319;-0,0818;-0,1254
"country";24;0,1347;-0,059;0,5316;-0,2318
"com";16;-0,8443;-0,0393;1,6682;-0,1544
"been";17;-0,2857;-0,0418;-0,107;0,5022
"has";22;-0,2138;-0,0541;-0,1386;0,4124
"air";13;0,2422;-0,0319;-0,0818;-0,1254
"is";119;0,9315;-0,2953;-0,7569;-0,2907
"it";69;-0,79;1,2444;-0,4367;0,7156
"in";113;-1,3307;0,3229;0,6556;0,9928
"if";11;0,2049;-0,027;-0,0692;-0,1061
"make";11;0,2049;-0,027;-0,0692;-0,1061
"the";402;-0,6168;-0,2199;1,221;-0,3246
"just";24;0,4477;-0,059;-0,1512;-0,2318
"had";13;-0,369;1,1495;-0,0818;-0,1254
"right";14;0,2609;-0,0344;-0,0881;-0,1351
"float";12;-0,3953;-0,0295;-0,0755;0,6308
"down";25;-1,7202;-0,0615;1,3062;0,9858
"was";42;-0,2744;0,6738;-0,2651;0,2163
"war";17;0,3169;-0,0418;-0,107;-0,1641
"it_s";24;0,1347;-0,059;-0,1512;0,3834
"no";20;0,3729;-0,0491;-0,126;-0,1931
"for";73;-1,0732;1,201;1,6927;-0,7085
"time";15;0,2796;-0,0368;-0,0944;-0,1448
"did";14;0,2609;-0,0344;-0,0881;-0,1351
"fly";31;0,2047;-0,0763;-0,1955;0,3024
"can";13;-0,369;-0,0319;-0,0818;0,6006
"spy";131;-1,009;0,7759;0,2469;0,7965
"man";17;0,3169;-0,0418;-0,107;-0,1641
"remember";16;0,2982;-0,0393;-0,1007;-0,1544
"so";35;-0,3611;-0,0861;0,3996;0,2666
"now";24;0,4477;-0,059;-0,1512;-0,2318
"year";13;-0,369;-0,0319;-0,0818;0,6006
"million";10;-0,4574;1,2599;-0,0629;-0,0965
"think";21;-0,6587;-0,0516;0,5807;0,4282
"one";18;-0,7619;-0,0442;0,6388;0,4818
"that";92;-1,0447;-0,2277;0,417;1,2946
"than";13;-0,369;-0,0319;-0,0818;0,6006
"were";17;0,3169;-0,0418;-0,107;-0,1641
"russia";19;-0,2536;-0,0467;0,6183;-0,1834
"and";160;0,4812;0,2214;-0,2259;-0,5068
"any";10;-0,4574;-0,0246;-0,0629;0,7008
"take";10;0,1863;-0,0246;-0,0629;-0,0965
"america";13;0,2422;-0,0319;-0,0818;-0,1254
"only";12;-0,3953;-0,0295;0,7969;-0,1158
"going";10;0,1863;-0,0246;-0,0629;-0,0965
"get";13;0,2422;-0,0319;-0,0818;-0,1254
"those";17;-0,2857;-0,0418;0,6606;-0,1641
"worry";11;0,2049;-0,027;-0,0692;-0,1061
"being";11;0,2049;-0,027;-0,0692;-0,1061
"on";65;-0,2859;0,5102;-0,4112;0,377
"of";135;-1,2507;-0,3355;1,9027;0,4633
"or";25;0,4664;-0,0615;-0,1575;-0,2415
"your";11;0,2049;-0,027;-0,0692;-0,1061
"there";16;0,2982;-0,0393;-0,1007;-0,1544
"with";41;-0,2852;-0,101;-0,2588;0,6443
"as";21;0,3916;-0,0516;-0,1323;-0,2028
"at";25;-0,549;-0,0615;0,5168;0,37
"you";58;1,0856;-0,1431;-0,3667;-0,5621
"all";30;0,1942;-0,0738;0,4521;-0,2899
"chinese";230;-0,5897;0,4269;0,3738;0,4061
"to";205;0,2958;-0,5131;0,4682;-0,2762
"what";29;0,5412;-0,0713;-0,1828;-0,2802
"sub";13;0,2422;-0,0319;-0,0818;-0,1254
"biden";51;0,4413;0,5997;-0,3222;-0,4939
"a";178;0,9044;-0,1338;-1,1389;-0,3499
"hunter";11;-0,4246;1,2197;-0,0692;-0,1061
"base";23;0,429;-0,0565;-0,1449;-0,2221
"also";10;0,1863;-0,0246;-0,0629;-0,0965
"nothing";10;0,1863;-0,0246;-0,0629;-0,0965
"his";35;-0,7452;0,7449;-0,2208;0,7483
"are";34;0,6349;-0,0837;-0,2144;-0,3287
"person";16;0,2982;-0,0393;-0,1007;-0,1544
"back";10;-0,4574;-0,0246;-0,0629;0,7008
"be";29;-0,462;-0,0713;0,464;0,3229
"by";21;-0,6587;-0,0516;1,4452;-0,2028
"russian";27;0,1637;-0,0664;0,4892;-0,2609
"up";17;0,3169;-0,0418;-0,107;-0,1641
"us";42;0,3294;-0,1034;0,3402;-0,4064
"don_t";14;-0,3452;-0,0344;-0,0881;0,5729
"entire";11;0,2049;-0,027;-0,0692;-0,1061
"let";14;0,2609;-0,0344;-0,0881;-0,1351
"ukraine";12;-0,3953;1,1831;-0,0755;-0,1158
"from";27;0,1637;-0,0664;0,4892;-0,2609
"about";34;0,2372;-0,0837;0,4093;-0,3287
"this";65;0,3168;-0,1604;0,2132;-0,2364
"allow";30;0,56;-0,0738;-0,1891;-0,2899
"our";67;-0,5099;-0,1654;0,2053;0,7414
"0001f602";10;0,1863;-0,0246;-0,0629;-0,0965
"have";40;0,3056;0,6927;-0,2524;-0,387
"need";12;0,2236;-0,0295;-0,0755;-0,1158
"border";23;0,429;-0,0565;-0,1449;-0,2221
"who";22;0,4103;-0,0541;-0,1386;-0,2125
"should";10;0,1863;-0,0246;-0,0629;-0,0965
"national";10;0,1863;-0,0246;-0,0629;-0,0965
"we";39;0,2939;-0,096;0,3639;-0,3773
"he_s";10;-0,4574;-0,0246;-0,0629;0,7008
"nuclear";12;0,2236;-0,0295;-0,0755;-0,1158
"state";20;-0,6908;-0,0491;0,599;0,445
"joe";21;0,3916;-0,0516;-0,1323;-0,2028
"an";21;0,3916;-0,0516;-0,1323;-0,2028
"will";13;0,2422;-0,0319;-0,0818;-0,1254
"capture";14;0,2609;-0,0344;-0,0881;-0,1351
"balloon";226;-0,8167;0,4366;-0,2289;0,9133
