"";"X.phase_Après";"X.phase_Début";"X.phase_Fin";"X.phase_Pic"
"even";0,1863;-0,0246;-0,0629;-0,0965
"never";0,2049;-0,027;-0,0692;-0,1061
"china";-2,434;-0,0393;-0,1007;3,4861
"military";-0,2447;0,6473;-0,2841;0,1985
"would";-0,4246;-0,027;0,8317;-0,1061
"me";0,1863;-0,0246;-0,0629;-0,0965
"thing";0,2609;-0,0344;-0,0881;-0,1351
"how";0,2609;-0,0344;-0,0881;-0,1351
"over";0,5599;-0,148;-0,3794;-0,2083
"them";0,2422;-0,0319;-0,0818;-0,1254
"they";0,7849;-0,1034;-0,2651;-0,4064
"their";-0,2394;0,9706;-0,126;-0,1931
"didn_t";-0,3236;-0,0368;-0,0944;0,5475
"do";0,3729;-0,0491;-0,126;-0,1931
"coast";0,2422;-0,0319;-0,0818;-0,1254
"country";0,1347;-0,059;0,5316;-0,2318
"com";-0,8443;-0,0393;1,6682;-0,1544
"been";-0,2857;-0,0418;-0,107;0,5022
"has";-0,2138;-0,0541;-0,1386;0,4124
"air";0,2422;-0,0319;-0,0818;-0,1254
"is";0,9315;-0,2953;-0,7569;-0,2907
"it";-0,79;1,2444;-0,4367;0,7156
"in";-1,3307;0,3229;0,6556;0,9928
"if";0,2049;-0,027;-0,0692;-0,1061
"make";0,2049;-0,027;-0,0692;-0,1061
"the";-0,6168;-0,2199;1,221;-0,3246
"just";0,4477;-0,059;-0,1512;-0,2318
"had";-0,369;1,1495;-0,0818;-0,1254
"right";0,2609;-0,0344;-0,0881;-0,1351
"float";-0,3953;-0,0295;-0,0755;0,6308
"down";-1,7202;-0,0615;1,3062;0,9858
"was";-0,2744;0,6738;-0,2651;0,2163
"war";0,3169;-0,0418;-0,107;-0,1641
"it_s";0,1347;-0,059;-0,1512;0,3834
"no";0,3729;-0,0491;-0,126;-0,1931
"for";-1,0732;1,201;1,6927;-0,7085
"time";0,2796;-0,0368;-0,0944;-0,1448
"shoot";-2,3319;-0,0418;1,6179;1,2807
"did";0,2609;-0,0344;-0,0881;-0,1351
"fly";0,2047;-0,0763;-0,1955;0,3024
"can";-0,369;-0,0319;-0,0818;0,6006
"spy";-1,009;0,7759;0,2469;0,7965
"trump";-1,2063;-0,0886;-0,2271;2,1226
"man";0,3169;-0,0418;-0,107;-0,1641
"remember";0,2982;-0,0393;-0,1007;-0,1544
"so";-0,3611;-0,0861;0,3996;0,2666
"now";0,4477;-0,059;-0,1512;-0,2318
"year";-0,369;-0,0319;-0,0818;0,6006
"million";-0,4574;1,2599;-0,0629;-0,0965
"think";-0,6587;-0,0516;0,5807;0,4282
"one";-0,7619;-0,0442;0,6388;0,4818
"that";-1,0447;-0,2277;0,417;1,2946
"than";-0,369;-0,0319;-0,0818;0,6006
"were";0,3169;-0,0418;-0,107;-0,1641
"russia";-0,2536;-0,0467;0,6183;-0,1834
"and";0,4812;0,2214;-0,2259;-0,5068
"any";-0,4574;-0,0246;-0,0629;0,7008
"take";0,1863;-0,0246;-0,0629;-0,0965
"america";0,2422;-0,0319;-0,0818;-0,1254
"only";-0,3953;-0,0295;0,7969;-0,1158
"going";0,1863;-0,0246;-0,0629;-0,0965
"get";0,2422;-0,0319;-0,0818;-0,1254
"s";-2,8605;0,6831;1,6871;1,2213
"those";-0,2857;-0,0418;0,6606;-0,1641
"worry";0,2049;-0,027;-0,0692;-0,1061
"being";0,2049;-0,027;-0,0692;-0,1061
"on";-0,2859;0,5102;-0,4112;0,377
"of";-1,2507;-0,3355;1,9027;0,4633
"or";0,4664;-0,0615;-0,1575;-0,2415
"your";0,2049;-0,027;-0,0692;-0,1061
"there";0,2982;-0,0393;-0,1007;-0,1544
"with";-0,2852;-0,101;-0,2588;0,6443
"as";0,3916;-0,0516;-0,1323;-0,2028
"at";-0,549;-0,0615;0,5168;0,37
"you";1,0856;-0,1431;-0,3667;-0,5621
"all";0,1942;-0,0738;0,4521;-0,2899
"chinese";-0,5897;0,4269;0,3738;0,4061
"to";0,2958;-0,5131;0,4682;-0,2762
"what";0,5412;-0,0713;-0,1828;-0,2802
"sub";0,2422;-0,0319;-0,0818;-0,1254
"biden";0,4413;0,5997;-0,3222;-0,4939
"a";0,9044;-0,1338;-1,1389;-0,3499
"hunter";-0,4246;1,2197;-0,0692;-0,1061
"base";0,429;-0,0565;-0,1449;-0,2221
"also";0,1863;-0,0246;-0,0629;-0,0965
"nothing";0,1863;-0,0246;-0,0629;-0,0965
"his";-0,7452;0,7449;-0,2208;0,7483
"are";0,6349;-0,0837;-0,2144;-0,3287
"person";0,2982;-0,0393;-0,1007;-0,1544
"back";-0,4574;-0,0246;-0,0629;0,7008
"be";-0,462;-0,0713;0,464;0,3229
"by";-0,6587;-0,0516;1,4452;-0,2028
"russian";0,1637;-0,0664;0,4892;-0,2609
"up";0,3169;-0,0418;-0,107;-0,1641
"us";0,3294;-0,1034;0,3402;-0,4064
"don_t";-0,3452;-0,0344;-0,0881;0,5729
"entire";0,2049;-0,027;-0,0692;-0,1061
"let";0,2609;-0,0344;-0,0881;-0,1351
"ukraine";-0,3953;1,1831;-0,0755;-0,1158
"from";0,1637;-0,0664;0,4892;-0,2609
"about";0,2372;-0,0837;0,4093;-0,3287
